比赛,场,出手,出手_2,出手_4,得分,罚球,犯规,盖帽,果,后场,篮板,列1,命中,命中_1,命中_3,前场,抢断,球队,三分,失误,时间,投篮,助攻,TeamAB
76人100-107骑士,客,81,22,20,107,0.75,19,9,胜,36,43,4,42,8,15,7,5,克里夫兰骑士,0.364,16,2015/11/2,0.519,28,CLE
76人100-113雄鹿,主,85,12,8,113,0.75,22,12,胜,29,34,30,51,5,6,5,14,密尔沃基雄鹿,0.417,16,2015/12/23,0.6,34,MIL
76人102-108骑士,主,88,26,12,108,0.667,20,0,胜,34,45,6,45,10,8,11,9,克里夫兰骑士,0.385,17,2015/11/6,0.511,29,CLE
76人102-109尼克斯,客,91,16,30,109,0.633,23,8,胜,47,59,80,43,4,19,12,6,纽约尼克斯,0.25,9,2016/4/8,0.473,19,NYK
76人102-112热火,客,88,16,36,112,0.806,19,5,胜,39,55,62,39,5,29,16,7,迈阿密热火,0.313,16,2016/3/4,0.443,24,MIA
76人102-115步行者,客,84,23,23,115,0.826,24,4,胜,42,48,76,44,8,19,6,9,印第安纳步行者,0.348,13,2016/4/2,0.524,27,IND
76人103-104掘金,主,76,17,40,104,0.8,19,9,胜,39,46,72,33,6,32,7,7,丹佛掘金,0.353,16,2016/3/23,0.434,18,DEN
76人103-119猛龙,客,89,18,31,119,0.903,18,7,胜,39,56,9,43,5,28,17,7,多伦多猛龙,0.278,8,2015/11/11,0.483,22,TOR
76人103-129小牛,主,85,34,36,129,0.944,19,3,胜,34,48,57,41,13,34,14,8,达拉斯小牛,0.382,10,2016/2/21,0.482,23,DAL
76人103-91湖人,客,89,34,24,91,0.708,19,2,负,34,46,17,33,8,17,12,4,洛杉矶湖人,0.235,11,2015/12/1,0.371,15,LAL
76人103-98篮网,客,76,15,26,98,0.885,17,5,负,27,36,52,35,5,23,9,5,布鲁克林篮网,0.333,19,2016/2/6,0.461,19,BKN
76人104-118火箭,客,86,33,41,118,0.756,24,5,胜,28,45,64,38,11,31,17,14,休斯顿火箭,0.333,13,2016/3/9,0.442,22,HOU
76人105-108掘金,客,81,31,38,108,0.605,21,4,胜,34,47,21,37,11,23,13,8,丹佛掘金,0.355,17,2015/12/5,0.457,25,DEN
76人105-108开拓者,主,91,25,30,108,0.8,21,5,胜,45,56,74,38,8,24,11,9,波特兰开拓者,0.32,10,2016/3/26,0.418,21,POR
