比赛,场,出手,出手_2,出手_4,得分,罚球,犯规,盖帽,果,后场,篮板,列1,命中,命中_1,命中_3,前场,抢断,球队,三分,失误,时间,投篮,助攻,TeamAB
76人105-108勇士,客,95,30,2,108,0.5,18,7,胜,45,57,47,47,13,1,12,5,金州勇士,0.433,23,2016/1/30,0.495,37,GSW
76人105-115公牛,主,83,24,27,115,0.815,13,8,胜,37,53,82,39,15,22,16,8,芝加哥公牛,0.625,17,2016/4/13,0.47,27,CHI
76人105-117勇士,主,83,33,20,117,0.75,15,4,胜,37,44,73,44,14,15,7,9,金州勇士,0.424,18,2016/3/27,0.53,32,GSW
76人105-120凯尔特,客,94,24,21,120,0.857,24,3,胜,39,53,70,46,10,18,14,8,波士顿凯尔特人,0.417,13,2016/3/20,0.489,28,BOS
76人106-127老鹰,主,78,21,24,127,0.875,21,7,胜,23,25,27,48,10,21,2,11,亚特兰大老鹰,0.476,12,2015/12/16,0.615,32,ATL
76人107-93鹈鹕,客,82,18,16,93,0.75,16,1,负,35,49,77,37,7,12,14,5,新奥尔良鹈鹕,0.389,17,2016/4/5,0.451,20,NOH
76人108-109雄鹿,客,87,23,24,109,0.917,19,8,胜,45,53,80,40,7,22,8,10,密尔沃基雄鹿,0.304,19,2016/4/10,0.46,26,MIL
76人108-116奇才,主,89,20,31,116,0.774,17,6,胜,39,53,59,43,6,24,14,6,华盛顿奇才,0.3,15,2016/2/29,0.483,25,WAS
76人109-99森林狼,客,73,5,24,99,0.792,18,4,负,21,27,35,39,2,19,6,11,明尼苏达森林狼,0.4,16,2016/1/4,0.534,26,MIN
76人110-105国王,主,74,25,41,105,0.61,26,5,负,39,46,32,36,8,25,7,5,萨克拉门托国王,0.32,22,2015/12/30,0.486,23,SAC
76人110-114国王,客,87,16,29,114,0.759,16,6,胜,29,44,53,44,4,22,15,7,萨克拉门托国王,0.25,13,2016/2/10,0.506,29,SAC
76人111-104太阳,主,88,27,34,104,0.765,26,3,负,29,41,32,34,10,26,12,10,菲尼克斯太阳,0.37,14,2015/12/26,0.386,17,PHO
76人111-115公牛,客,88,17,31,115,0.839,20,2,胜,36,53,38,41,7,26,17,9,芝加哥公牛,0.412,23,2016/1/14,0.466,17,CHI
76人111-125活塞,客,91,18,22,125,0.818,20,3,胜,40,52,66,49,9,18,12,6,底特律活塞,0.5,13,2016/3/12,0.538,26,DET
76人113-103太阳,客,83,19,28,103,0.679,30,6,负,35,45,46,39,6,19,10,6,菲尼克斯太阳,0.316,17,2016/1/26,0.47,27,PHO
76人113-119尼克斯,主,97,20,30,119,0.833,19,8,胜,43,53,43,43,8,25,10,6,纽约尼克斯,0.4,14,2016/1/18,0.443,26,NYK
76人114-116火箭,主,73,20,37,116,0.784,21,6,胜,39,49,16,38,11,29,10,5,休斯顿火箭,0.55,22,2015/11/27,0.521,21,HOU
76人114-121鹈鹕,主,81,17,40,121,0.8,22,4,胜,31,42,54,41,7,32,11,12,新奥尔良鹈鹕,0.412,16,2016/2/19,0.506,22,NOH
76人114-131篮网,主,90,24,31,131,0.871,20,3,胜,38,52,67,47,10,27,14,12,布鲁克林篮网,0.417,12,2016/3/15,0.522,23,BKN
76人114-89开拓者,客,87,29,24,89,0.667,22,4,负,29,38,43,34,5,16,9,6,波特兰开拓者,0.172,13,2016/1/16,0.391,17,POR
76人115-124魔术,客,85,14,41,124,0.854,22,2,胜,30,43,55,41,7,35,13,11,奥兰多魔术,0.5,11,2016/2/23,0.482,26,ORL
76人116-130魔术,主,86,16,25,130,0.88,27,6,胜,27,33,58,49,10,22,6,9,奥兰多魔术,0.625,12,2016/2/28,0.57,28,ORL
76人68-119马刺,客,76,11,25,119,0.84,17,1,胜,40,47,22,47,4,21,7,4,圣安东尼奥马刺,0.364,7,2015/12/7,0.618,32,SAS
76人71-99爵士,客,88,13,25,99,0.8,22,8,胜,38,51,2,36,7,20,13,10,犹他爵士,0.538,7,2015/10/30,0.409,19,UTA
76人75-91步行者,主,81,26,13,91,0.846,20,5,胜,38,45,70,35,10,11,7,7,印第安纳步行者,0.385,12,2016/3/21,0.432,18,IND
76人76-96猛龙,主,78,22,34,96,0.735,15,9,胜,33,41,25,32,7,25,8,11,多伦多猛龙,0.318,8,2015/12/13,0.41,14,TOR
76人80-84凯尔特,主,91,29,18,84,0.722,12,6,胜,43,54,15,31,9,13,11,7,波士顿凯尔特人,0.31,16,2015/11/25,0.341,18,BOS
76人83-92马刺,主,85,16,25,92,0.84,9,8,胜,42,54,9,33,5,21,12,10,圣安东尼奥马刺,0.313,13,2015/11/14,0.388,23,SAS
76人84-92灰熊,主,81,13,27,92,0.741,18,7,胜,34,49,18,34,4,20,15,11,孟菲斯灰熊,0.308,26,2015/11/29,0.42,19,MEM
76人84-93湖人,主,87,16,29,93,0.759,17,6,胜,37,50,34,33,5,22,13,11,洛杉矶湖人,0.313,10,2016/1/1,0.379,17,LAL
76人85-100黄蜂,客,87,25,18,100,0.944,7,6,胜,56,65,74,38,7,17,9,6,夏洛特黄蜂,0.28,15,2016/3/29,0.437,26,CHA
76人85-102雷霆,主,97,25,21,102,0.762,19,13,胜,39,55,9,39,8,16,16,9,俄克拉荷马雷霆,0.32,13,2015/11/13,0.402,20,OKC
76人85-112步行者,客,92,27,20,112,0.8,17,8,胜,32,48,12,42,12,16,16,18,印第安纳步行者,0.444,18,2015/11/18,0.457,28,IND
76人85-95骑士,客,90,32,23,95,0.696,16,2,胜,38,51,35,35,9,16,13,9,克里夫兰骑士,0.281,10,2016/1/10,0.389,20,CLE
76人86-108骑士,主,85,25,21,108,0.81,19,6,胜,34,40,25,40,11,17,6,11,克里夫兰骑士,0.44,10,2015/12/20,0.471,25,CLE
76人86-124老鹰,客,92,20,25,124,0.72,12,7,胜,41,52,51,48,10,18,11,13,亚特兰大老鹰,0.5,18,2016/2/3,0.522,28,ATL
76人86-92小牛,客,76,24,30,92,0.833,23,2,胜,33,39,11,30,7,25,6,12,达拉斯小牛,0.292,19,2015/11/16,0.395,16,DAL
76人87-91雄鹿,主,87,23,17,91,0.765,19,4,胜,28,37,5,35,8,13,9,6,密尔沃基雄鹿,0.348,10,2015/11/4,0.402,24,MIL
76人87-99尼克斯,主,89,19,22,99,0.864,17,9,胜,42,50,19,38,4,19,8,5,纽约尼克斯,0.211,17,2015/12/2,0.427,19,NYK
76人88-111公牛,客,96,25,23,111,0.826,19,10,胜,45,58,8,41,10,19,13,6,芝加哥公牛,0.4,14,2015/11/9,0.427,28,CHI
76人88-113黄蜂,主,81,25,22,113,0.955,21,10,胜,36,41,13,40,12,21,5,7,夏洛特黄蜂,0.48,11,2015/11/20,0.494,25,CHA
76人90-104灰熊,客,85,15,24,104,0.792,23,3,胜,27,36,30,40,5,19,9,16,孟菲斯灰熊,0.333,12,2015/12/22,0.471,26,MEM
76人91-100黄蜂,主,84,27,27,100,0.778,14,6,胜,47,55,75,36,7,21,8,9,夏洛特黄蜂,0.259,11,2016/4/1,0.429,23,CHA
76人91-100篮网,主,74,14,27,100,0.741,20,1,胜,34,43,22,37,6,20,9,5,布鲁克林篮网,0.429,19,2015/12/10,0.5,22,BKN
76人91-111活塞,主,83,28,34,111,0.647,19,1,胜,40,50,58,39,11,22,10,10,底特律活塞,0.393,16,2016/2/24,0.47,22,DET
76人91-95爵士,主,84,26,36,95,0.889,18,9,胜,38,53,29,28,7,32,15,11,犹他爵士,0.269,15,2015/12/28,0.333,13,UTA
76人91-96热火,主,69,18,45,96,0.689,19,14,胜,36,45,12,30,5,31,9,7,迈阿密热火,0.278,16,2015/11/21,0.435,16,MIA
76人92-112凯尔特,客,97,25,19,112,0.789,17,2,胜,36,51,45,43,11,15,15,14,波士顿凯尔特人,0.44,16,2016/1/24,0.443,29,BOS
76人92-98快船,客,95,22,31,98,0.742,22,4,胜,38,52,52,35,5,23,14,12,洛杉矶快船,0.227,12,2016/2/8,0.368,21,LAC
76人94-103奇才,客,94,23,17,103,0.941,19,8,胜,38,55,57,40,7,16,17,7,华盛顿奇才,0.304,11,2016/2/26,0.426,24,WAS
76人94-106奇才,主,84,22,20,106,0.6,15,4,胜,37,46,48,44,6,12,9,7,华盛顿奇才,0.273,13,2016/2/5,0.524,26,WAS
76人94-99奇才,客,90,27,19,99,0.684,17,1,胜,48,60,68,40,6,13,12,8,华盛顿奇才,0.222,22,2016/3/17,0.444,25,WAS
76人95-100森林狼,主,78,12,27,100,0.926,25,7,胜,33,41,14,36,3,25,8,8,明尼苏达森林狼,0.25,17,2015/11/23,0.462,20,MIN
76人95-107活塞,客,93,27,16,107,0.688,21,9,胜,31,48,24,43,10,11,17,9,底特律活塞,0.37,14,2015/12/11,0.462,18,DET
76人95-108猛龙,客,75,17,27,108,0.778,16,7,胜,31,37,39,41,5,21,6,7,多伦多猛龙,0.294,13,2016/1/9,0.547,19,TOR
76人95-112凯尔特,主,85,24,27,112,0.963,23,7,胜,31,41,1,39,8,26,10,10,波士顿凯尔特人,0.333,17,2015/10/28,0.459,31,BOS
76人95-89篮网,客,87,17,22,89,0.818,14,4,负,30,41,65,33,5,18,11,8,布鲁克林篮网,0.294,12,2016/3/11,0.379,22,BKN
76人96-115公牛,主,85,22,26,115,0.808,15,8,胜,43,53,22,43,8,21,10,7,芝加哥公牛,0.364,13,2015/12/14,0.506,28,CHI
76人96-87魔术,主,84,17,26,87,0.654,14,3,负,34,47,41,33,4,17,13,12,奥兰多魔术,0.235,14,2016/1/20,0.393,19,ORL
76人97-105魔术,客,83,13,24,105,0.875,23,7,胜,31,41,7,39,6,21,10,10,奥兰多魔术,0.462,13,2015/11/7,0.47,24,ORL
76人97-107尼克斯,客,85,19,28,107,0.75,19,6,胜,35,49,27,40,6,21,14,8,纽约尼克斯,0.316,15,2015/12/18,0.471,24,NYK
76人97-110活塞,主,91,21,38,110,0.711,19,2,胜,30,51,46,39,5,27,21,9,底特律活塞,0.238,10,2016/1/27,0.429,15,DET
76人97-111雷霆,客,89,22,18,111,0.778,24,8,胜,47,63,69,45,7,14,16,3,俄克拉荷马雷霆,0.318,20,2016/3/18,0.506,27,OKC
76人98-103热火,主,81,14,30,103,0.767,18,10,胜,38,51,63,36,8,23,13,7,迈阿密热火,0.571,12,2016/3/6,0.444,16,MIA
76人98-122猛龙,主,95,25,19,122,0.842,20,5,胜,36,52,81,48,10,16,16,11,多伦多猛龙,0.4,13,2016/4/12,0.505,25,TOR
76人98-126老鹰,客,92,31,19,126,0.789,23,6,胜,34,48,37,49,13,15,14,18,亚特兰大老鹰,0.419,16,2016/1/7,0.533,36,ATL
76人99-119黄蜂,客,81,25,35,119,0.829,21,7,胜,42,50,60,40,10,29,8,9,夏洛特黄蜂,0.4,12,2016/3/2,0.494,20,CHA
76人99-130快船,主,81,23,25,130,0.8,17,6,胜,41,47,35,49,12,20,6,7,洛杉矶快船,0.522,14,2016/1/2,0.605,28,LAC
步行者100-102公牛,主,86,18,27,102,0.815,19,10,胜,39,53,30,37,6,22,14,6,芝加哥公牛,0.333,21,2015/12/30,0.43,15,CHI
步行者100-103热火,主,90,22,39,103,0.769,23,6,胜,37,52,34,34,5,30,15,5,迈阿密热火,0.227,7,2016/1/4,0.378,14,MIA
步行者100-98凯尔特,客,83,27,22,98,0.818,22,5,负,34,49,4,35,10,18,15,7,波士顿凯尔特人,0.37,19,2015/11/4,0.422,20,BOS
步行者100-99奇才,主,89,15,24,99,0.625,21,4,负,32,46,62,39,6,15,14,7,华盛顿奇才,0.4,16,2016/3/5,0.438,25,WAS
步行者101-108黄蜂,主,79,31,23,108,0.826,19,9,胜,34,41,61,38,13,19,7,4,夏洛特黄蜂,0.419,11,2016/3/4,0.481,20,CHA
步行者101-98雷霆,主,96,26,10,98,0.9,21,4,负,39,48,55,42,5,9,9,6,俄克拉荷马雷霆,0.192,13,2016/2/19,0.438,28,OKC
步行者102-111开拓者,客,81,24,21,111,0.714,20,6,胜,37,45,60,41,14,15,8,4,波特兰开拓者,0.583,12,2016/2/28,0.506,19,POR
步行者102-88森林狼,主,75,12,18,88,0.778,16,2,负,24,33,30,35,4,14,9,14,明尼苏达森林狼,0.333,21,2015/12/26,0.467,22,MIN
步行者102-90尼克斯,客,80,27,9,90,0.889,17,8,负,29,37,82,36,10,8,8,6,纽约尼克斯,0.37,15,2016/4/12,0.45,27,NYK
步行者102-91凯尔特,主,77,24,32,91,0.719,26,3,负,28,36,7,32,4,23,8,10,波士顿凯尔特人,0.167,18,2015/11/11,0.416,18,BOS
步行者103-107火箭,主,89,38,23,107,0.652,21,3,胜,39,49,38,39,14,15,10,11,休斯顿火箭,0.368,22,2016/1/10,0.438,24,HOU
步行者103-112灰熊,客,82,16,29,112,0.793,25,5,胜,30,42,2,41,7,23,12,12,孟菲斯灰熊,0.438,14,2015/10/29,0.5,26,MEM
步行者103-91快船,主,79,27,39,91,0.641,31,2,负,30,40,19,30,6,25,10,4,洛杉矶快船,0.222,15,2015/12/2,0.38,19,LAC
步行者103-98凯尔特,客,94,32,22,98,0.818,21,3,负,33,50,67,36,8,18,17,6,波士顿凯尔特人,0.25,13,2016/3/15,0.383,23,BOS
步行者104-101火箭,客,85,33,27,101,0.667,18,3,负,33,44,74,38,7,18,11,7,休斯顿火箭,0.212,14,2016/3/27,0.447,17,HOU
步行者104-118奇才,客,98,25,10,118,0.5,29,2,胜,37,54,38,51,11,5,17,8,华盛顿奇才,0.44,15,2016/1/15,0.52,26,WAS
步行者104-92公牛,客,92,26,20,92,0.85,23,7,负,38,47,14,32,11,17,9,7,芝加哥公牛,0.423,15,2015/11/27,0.348,21,CHI
步行者104-97篮网,客,86,16,17,97,1,21,6,负,33,42,26,36,8,17,9,7,布鲁克林篮网,0.5,12,2015/12/18,0.419,18,BKN
步行者104-99雄鹿,主,76,14,32,99,0.875,21,1,负,31,37,61,34,3,28,6,8,密尔沃基雄鹿,0.214,12,2016/3/2,0.447,14,MIL
步行者105-102魔术,主,91,25,29,102,0.655,23,3,负,34,45,54,38,7,19,11,12,奥兰多魔术,0.28,14,2016/2/21,0.418,27,ORL
步行者106-108国王,客,89,23,16,108,0.75,16,4,胜,43,49,29,46,4,12,6,6,萨克拉门托国王,0.174,16,2015/12/23,0.517,28,SAC
步行者106-111骑士,客,88,22,23,111,0.696,19,3,胜,35,45,47,44,7,16,10,8,克里夫兰骑士,0.318,16,2016/2/1,0.5,22,CLE
步行者106-90猛龙,客,79,28,26,90,0.846,21,6,负,30,45,26,29,10,22,15,9,多伦多猛龙,0.357,18,2015/12/14,0.367,10,TOR
步行者107-103湖人,主,99,33,22,103,0.727,27,5,负,39,54,16,38,11,16,15,6,洛杉矶湖人,0.333,10,2015/11/29,0.384,17,LAL
步行者107-103森林狼,客,83,20,13,103,0.923,19,0,负,31,39,9,42,7,12,8,5,明尼苏达森林狼,0.35,15,2015/11/13,0.506,16,MIN
步行者107-81小牛,客,90,33,10,81,0.7,16,3,负,36,47,26,33,8,7,11,2,达拉斯小牛,0.242,11,2015/12/16,0.367,16,DAL
步行者108-105尼克斯,客,77,26,25,105,0.88,17,5,负,30,38,59,35,13,22,8,4,纽约尼克斯,0.5,13,2016/2/24,0.455,22,NYK
步行者109-105掘金,客,87,18,25,105,0.84,22,3,负,37,45,48,40,4,21,8,10,丹佛掘金,0.222,19,2016/1/30,0.46,24,DEN
步行者110-120篮网,主,77,12,36,120,0.861,23,1,胜,33,40,72,42,5,31,7,13,布鲁克林篮网,0.417,20,2016/3/26,0.545,24,BKN
步行者110-122勇士,主,90,33,25,122,0.88,24,4,胜,36,50,44,43,14,22,14,9,金州勇士,0.424,17,2016/1/22,0.478,31,GSW
步行者111-115雷霆,客,80,28,26,115,0.808,25,4,胜,36,45,70,42,10,21,9,8,俄克拉荷马雷霆,0.357,18,2016/3/19,0.525,26,OKC
步行者111-123开拓者,主,85,36,20,123,0.85,20,3,胜,33,48,20,44,18,17,15,11,波特兰开拓者,0.5,15,2015/12/3,0.518,26,POR
步行者111-92老鹰,客,83,28,21,92,0.905,22,5,负,27,32,48,33,7,19,5,9,亚特兰大老鹰,0.25,14,2016/1/28,0.398,20,ATL
步行者112-104活塞,客,80,33,31,104,0.516,26,3,负,27,38,52,38,12,16,11,7,底特律活塞,0.364,13,2016/2/6,0.475,14,DET
步行者112-105小牛,主,85,22,18,105,0.833,21,1,负,33,40,66,41,8,15,7,7,达拉斯小牛,0.364,13,2016/3/12,0.482,30,DAL
步行者112-8576人,主,76,25,16,85,0.625,17,8,负,36,43,12,35,5,10,7,9,费城76人,0.2,29,2015/11/18,0.461,14,PHI
步行者114-100篮网,主,82,23,31,100,0.677,20,2,负,31,41,50,36,7,21,10,5,布鲁克林篮网,0.304,16,2016/2/3,0.439,25,BKN
步行者115-10276人,主,83,37,26,102,0.692,22,1,负,30,38,77,34,16,18,8,3,费城76人,0.432,16,2016/4/2,0.41,23,PHI
步行者116-120雄鹿,客,77,14,35,120,0.686,25,10,胜,28,34,34,45,6,24,6,12,密尔沃基雄鹿,0.429,16,2015/12/31,0.584,18,MIL
步行者116-97太阳,客,89,25,27,97,0.63,25,3,负,29,45,40,36,8,17,16,6,菲尼克斯太阳,0.32,18,2016/1/12,0.404,24,PHO
步行者119-122爵士,主,92,23,37,122,0.757,30,3,胜,35,54,18,43,8,28,19,7,犹他爵士,0.348,15,2015/12/5,0.467,21,UTA
步行者123-106奇才,主,83,33,24,106,0.708,18,1,负,30,40,11,38,13,17,10,9,华盛顿奇才,0.394,21,2015/11/24,0.458,27,WAS
步行者123-109骑士,客,74,29,34,109,0.912,19,3,负,26,33,79,35,8,31,7,7,克里夫兰骑士,0.276,10,2016/4/6,0.473,15,CLE
步行者123-131勇士,客,95,36,15,131,0.733,19,6,胜,36,46,23,52,16,11,10,10,金州勇士,0.444,15,2015/12/8,0.547,29,GSW
步行者123-86雄鹿,客,79,17,19,86,0.684,19,5,负,30,43,13,34,5,13,13,9,密尔沃基雄鹿,0.294,23,2015/11/21,0.43,19,MIL
步行者126-129掘金,主,91,26,38,129,0.711,26,4,胜,25,42,41,46,10,27,17,12,丹佛掘金,0.385,17,2016/1/17,0.505,25,DEN
步行者129-105篮网,客,91,37,26,105,0.808,21,4,负,25,36,80,35,14,21,11,12,布鲁克林篮网,0.378,15,2016/4/10,0.385,24,BKN
步行者75-104老鹰,主,85,30,10,104,0.9,13,6,胜,41,50,67,40,15,9,9,11,亚特兰大老鹰,0.5,15,2016/3/13,0.471,27,ATL
步行者76-97爵士,客,88,15,18,97,0.722,24,3,胜,32,47,3,39,6,13,15,13,犹他爵士,0.4,17,2015/10/31,0.443,15,UTA
步行者84-96灰熊,主,83,19,21,96,0.81,20,6,胜,37,46,29,37,5,17,9,9,孟菲斯灰熊,0.263,9,2015/12/19,0.446,21,MEM
步行者89-87湖人,客,93,35,26,87,0.808,24,2,负,37,51,54,29,8,21,14,10,洛杉矶湖人,0.229,12,2016/2/8,0.312,13,LAL
步行者89-91快船,客,78,37,24,91,0.5,20,5,胜,35,44,45,32,15,12,9,9,洛杉矶快船,0.405,15,2016/1/26,0.41,16,LAC
步行者90-87热火,客,81,20,13,87,0.692,19,6,负,33,40,6,36,6,9,7,5,迈阿密热火,0.3,11,2015/11/6,0.444,21,MIA
步行者91-7576人,客,80,18,14,75,0.643,17,4,负,34,44,71,31,4,9,10,4,费城76人,0.222,15,2016/3/21,0.388,15,PHI
步行者91-86鹈鹕,主,83,29,20,86,0.75,18,5,负,29,37,35,31,9,15,8,21,新奥尔良鹈鹕,0.31,15,2016/1/8,0.373,21,NOH
步行者92-106马刺,主,89,20,9,106,0.889,14,7,胜,38,45,29,46,6,8,7,8,圣安东尼奥马刺,0.3,9,2015/12/21,0.517,27,SAS
步行者92-84鹈鹕,客,85,17,14,84,0.714,16,0,负,38,47,71,35,4,10,9,7,新奥尔良鹈鹕,0.235,16,2016/3/24,0.412,15,NOH
步行者92-87尼克斯,主,96,25,20,87,0.7,18,9,负,33,51,78,33,7,14,18,7,纽约尼克斯,0.28,10,2016/4/3,0.344,20,NYK
步行者93-101热火,主,100,13,34,101,0.676,24,8,胜,46,66,56,38,2,23,20,8,迈阿密热火,0.154,14,2016/2/22,0.38,19,MIA
步行者93-87老鹰,客,74,25,25,87,0.76,16,6,负,36,44,33,31,6,19,8,9,亚特兰大老鹰,0.24,20,2015/12/28,0.419,16,ATL
步行者94-101猛龙,客,88,22,38,101,0.789,21,5,胜,42,57,67,32,7,30,15,5,多伦多猛龙,0.318,14,2016/3/17,0.364,11,TOR
步行者94-103凯尔特,主,90,26,20,103,0.7,18,2,胜,35,49,39,40,9,14,14,7,波士顿凯尔特人,0.346,19,2016/1/13,0.444,24,BOS
步行者94-114魔术,客,90,16,18,114,0.722,18,6,胜,31,44,75,48,5,13,13,6,奥兰多魔术,0.313,13,2016/3/31,0.533,26,ORL
步行者94-82活塞,客,93,20,23,82,0.565,18,2,负,36,48,34,33,3,13,12,5,底特律活塞,0.15,10,2016/1/2,0.355,17,DET
步行者94-82活塞,主,86,22,17,82,0.647,21,5,负,31,50,4,33,5,11,19,8,底特律活塞,0.227,23,2015/11/3,0.384,14,DET
步行者95-117黄蜂,客,87,28,19,117,0.789,13,8,胜,35,45,53,45,12,15,10,6,夏洛特黄蜂,0.429,13,2016/2/10,0.517,24,CHA
步行者95-86魔术,主,79,31,17,86,0.941,21,6,负,30,39,36,32,6,16,9,7,奥兰多魔术,0.194,17,2016/1/6,0.405,17,ORL
步行者95-96公牛,主,86,15,32,96,0.625,20,9,胜,38,48,10,35,6,20,10,9,芝加哥公牛,0.4,8,2015/11/16,0.407,26,CHI
步行者95-96黄蜂,客,83,28,19,96,0.684,21,7,胜,32,38,57,36,11,13,6,8,夏洛特黄蜂,0.393,14,2016/2/26,0.434,23,CHA
步行者96-100骑士,主,83,29,25,100,0.84,15,2,胜,31,40,59,35,9,21,9,4,克里夫兰骑士,0.31,11,2016/2/29,0.422,22,CLE
步行者96-102老鹰,主,76,27,20,102,0.7,16,5,胜,29,32,52,39,10,14,3,10,亚特兰大老鹰,0.37,15,2016/2/5,0.513,29,ATL
步行者96-118活塞,主,90,29,19,118,0.789,18,6,胜,36,46,25,45,13,15,10,11,底特律活塞,0.448,14,2015/12/12,0.5,26,DET
步行者96-83热火,客,81,20,13,83,0.615,16,8,负,37,45,21,35,5,8,8,6,迈阿密热火,0.25,19,2015/12/11,0.432,14,MIA
步行者96-98公牛,客,87,26,16,98,0.875,19,6,胜,29,41,74,37,10,14,12,5,芝加哥公牛,0.385,15,2016/3/29,0.425,22,CHI
步行者97-101骑士,主,83,24,25,101,0.68,20,4,胜,37,48,7,38,8,17,11,5,克里夫兰骑士,0.333,10,2015/11/8,0.458,25,CLE
步行者97-108国王,主,85,16,36,108,0.75,22,4,胜,39,52,43,38,5,27,13,7,萨克拉门托国王,0.313,14,2016/1/23,0.447,19,SAC
步行者97-84魔术,客,78,33,17,84,0.706,20,3,负,37,44,8,31,10,12,7,9,奥兰多魔术,0.303,21,2015/11/9,0.397,16,ORL
步行者97-92雄鹿,主,87,23,13,92,0.846,15,3,负,36,43,82,37,7,11,7,8,密尔沃基雄鹿,0.304,15,2016/4/13,0.425,23,MIL
步行者97-94太阳,主,81,35,29,94,0.931,23,2,负,40,53,43,28,11,27,13,4,菲尼克斯太阳,0.314,22,2016/1/19,0.346,15,PHO
步行者98-111猛龙,主,68,22,38,111,0.711,19,5,胜,31,36,79,37,10,27,5,4,多伦多猛龙,0.455,16,2016/4/8,0.544,21,TOR
步行者99-106猛龙,主,80,18,39,106,0.692,24,2,胜,41,50,1,36,7,27,9,8,多伦多猛龙,0.389,20,2015/10/28,0.45,19,TOR
步行者99-91马刺,客,96,28,22,91,0.864,19,6,负,34,52,63,34,4,19,18,5,圣安东尼奥马刺,0.143,8,2016/3/7,0.354,15,SAS
公牛100-102老鹰,客,85,22,28,102,0.893,13,12,胜,40,47,75,36,5,25,7,5,亚特兰大老鹰,0.227,8,2016/3/28,0.424,22,ATL
公牛100-105凯尔特,主,92,23,28,105,0.857,22,4,胜,32,45,22,38,5,24,13,10,波士顿凯尔特人,0.217,12,2015/12/9,0.413,22,BOS
公牛100-114奇才,客,99,24,10,114,0.9,23,7,胜,30,43,36,48,9,9,13,10,华盛顿奇才,0.375,9,2016/1/11,0.485,31,WAS
公牛100-90雄鹿,客,91,18,17,90,0.647,19,5,负,30,48,64,36,7,11,18,7,密尔沃基雄鹿,0.389,11,2016/3/7,0.396,24,MIL
公牛101-103太阳,客,92,17,17,103,0.824,17,4,胜,30,40,22,41,7,14,10,12,菲尼克斯太阳,0.412,18,2015/12/7,0.446,18,PHO
公牛101-106雄鹿,主,93,13,28,106,0.607,19,9,胜,26,40,40,43,3,17,14,11,密尔沃基雄鹿,0.231,5,2016/1/12,0.462,28,MIL
公牛101-109马刺,主,93,17,19,109,0.789,12,4,胜,31,40,65,44,6,15,9,14,圣安东尼奥马刺,0.353,8,2016/3/10,0.473,29,SAS
公牛101-110凯尔特,主,96,23,21,110,0.762,22,6,胜,30,46,44,43,8,16,16,14,波士顿凯尔特人,0.348,12,2016/1/22,0.448,26,BOS
公牛101-92凯尔特,客,98,25,22,92,0.773,19,3,负,36,51,36,35,5,17,15,11,波士顿凯尔特人,0.2,11,2016/1/7,0.357,17,BOS
公牛102-100步行者,客,97,22,24,100,0.792,21,7,负,30,46,31,37,7,19,16,14,印第安纳步行者,0.318,12,2015/12/30,0.381,18,IND
