比赛,场,出手,出手_2,出手_4,得分,罚球,犯规,盖帽,果,后场,篮板,列1,命中,命中_1,命中_3,前场,抢断,球队,三分,失误,时间,投篮,助攻,TeamAB
公牛96-121雷霆,主,89,21,33,121,0.818,21,2,胜,32,49,29,43,8,27,17,14,俄克拉荷马雷霆,0.381,19,2018/12/17,0.483,24,OKC
公牛97-85老鹰,主,84,40,23,85,0.826,13,8,负,37,48,5,27,12,19,11,9,亚特兰大老鹰,0.3,22,2018/10/27,0.321,20,ATL
公牛98-103独行侠,客,80,33,29,103,0.655,22,7,胜,42,49,13,37,10,19,7,11,达拉斯独行侠,0.303,18,2018/11/12,0.463,18,DAL
公牛98-107鹈鹕,主,94,30,17,107,0.706,18,10,胜,44,55,11,42,11,12,11,5,新奥尔良鹈鹕,0.367,15,2018/11/7,0.447,32,NOH
公牛98-118开拓者,客,83,32,25,118,0.84,16,3,胜,36,45,74,43,11,21,9,4,波特兰开拓者,0.344,8,2019/3/27,0.518,30,POR
公牛98-93马刺,主,73,21,26,93,0.846,18,5,负,34,41,30,32,7,22,7,3,圣安东尼奥马刺,0.333,15,2018/12/15,0.438,18,SAS
公牛99-112雄鹿,客,80,38,29,112,0.828,18,7,胜,44,49,56,38,12,24,5,6,密尔沃基雄鹿,0.316,17,2019/2/11,0.475,24,MIL
公牛99-98骑士,客,91,21,18,98,0.667,17,6,负,38,53,12,39,8,12,15,5,克里夫兰骑士,0.381,12,2018/11/10,0.429,15,CLE
国王101-127火箭,客,100,51,18,127,0.944,19,7,胜,29,42,54,45,20,17,13,13,休斯顿火箭,0.392,11,2019/2/6,0.45,17,HOU
国王102-94尼克斯,主,94,35,21,94,0.667,20,5,负,45,58,66,35,10,14,13,3,纽约尼克斯,0.286,9,2019/3/9,0.372,16,NYK
国王102-96热火,客,88,33,19,96,0.474,21,8,负,38,49,53,38,11,9,11,6,迈阿密热火,0.333,18,2019/2/8,0.432,26,MIA
国王102-99灰熊,客,80,32,10,99,0.9,25,8,负,36,44,32,37,16,9,8,7,孟菲斯灰熊,0.5,18,2018/12/21,0.463,24,MEM
国王103-101活塞,主,82,29,25,101,0.76,23,2,负,33,46,45,36,10,19,13,6,底特律活塞,0.345,14,2019/1/19,0.439,21,DET
国王104-112灰熊,主,85,25,24,112,0.625,23,5,胜,31,40,14,43,11,15,9,11,孟菲斯灰熊,0.44,13,2018/11/16,0.506,24,MEM
国王104-97黄蜂,客,88,36,22,97,0.591,17,11,负,43,56,42,36,12,13,13,6,夏洛特黄蜂,0.333,18,2019/1/12,0.409,21,CHA
国王104-99马刺,客,87,31,16,99,0.813,12,4,负,34,43,12,38,10,13,9,5,圣安东尼奥马刺,0.323,15,2018/11/12,0.437,25,SAS
国王105-112森林狼,主,83,31,28,112,0.714,28,7,胜,42,49,60,42,8,20,7,10,明尼苏达森林狼,0.258,22,2019/2/25,0.506,23,MIN
国王105-114猛龙,客,88,36,23,114,0.913,20,4,胜,40,53,12,41,11,21,13,10,多伦多猛龙,0.306,21,2018/11/7,0.466,17,TOR
国王105-120猛龙,主,91,40,35,120,0.686,21,5,胜,34,46,49,40,16,24,12,7,多伦多猛龙,0.4,16,2019/1/22,0.44,25,TOR
国王105-130火箭,客,94,61,17,130,0.706,20,3,胜,35,43,78,46,26,12,8,8,休斯顿火箭,0.426,7,2019/4/2,0.489,30,HOU
国王105-132森林狼,主,97,27,30,132,0.867,24,7,胜,47,59,30,48,10,26,12,10,明尼苏达森林狼,0.37,11,2018/12/17,0.495,37,MIN
国王106-111湖人,主,85,40,24,111,0.833,22,8,胜,47,56,73,39,13,20,9,4,洛杉矶湖人,0.325,20,2019/3/24,0.459,29,LAL
国王107-99魔术,主,91,43,22,99,0.727,22,8,负,37,48,7,36,11,16,11,10,奥兰多魔术,0.256,16,2018/10/30,0.396,28,ORL
国王108-113开拓者,客,90,32,30,113,0.867,19,10,胜,46,56,38,39,9,26,10,11,波特兰开拓者,0.281,18,2019/1/1,0.433,22,POR
国王108-119火箭,主,83,52,27,119,0.889,17,2,胜,32,38,77,39,17,24,6,6,休斯顿火箭,0.327,9,2019/3/30,0.47,19,HOU
国王108-122快船,主,88,29,29,122,0.931,28,1,胜,38,52,50,42,11,27,14,6,洛杉矶快船,0.379,18,2019/1/27,0.477,35,LAC
国王108-89公牛,主,76,28,13,89,1,17,4,负,33,40,28,34,8,13,7,10,芝加哥公牛,0.286,27,2018/12/10,0.447,16,CHI
国王109-111凯尔特,客,79,33,21,111,0.857,22,1,胜,32,35,66,40,13,18,3,11,波士顿凯尔特人,0.394,17,2019/3/6,0.506,26,BOS
国王109-116快船,客,92,31,33,116,0.727,23,6,胜,42,58,64,40,12,24,16,4,洛杉矶快船,0.387,11,2019/3/1,0.435,19,LAC
