TeamAB,时间,场,比赛,列1,果
ATL,2016/10/27,主,奇才99-114老鹰,1,胜
ATL,2016/10/29,客,76人72-104老鹰,2,胜
ATL,2016/10/31,主,国王95-106老鹰,3,胜
ATL,2016/11/12,主,76人96-117老鹰,9,胜
ATL,2016/11/15,客,热火90-93老鹰,10,胜
ATL,2016/11/16,主,雄鹿100-107老鹰,11,胜
ATL,2016/11/18,客,黄蜂100-96老鹰,12,负
ATL,2016/11/2,主,湖人123-116老鹰,4,负
ATL,2016/11/20,客,尼克斯104-94老鹰,13,负
ATL,2016/11/22,主,鹈鹕112-94老鹰,14,负
ATL,2016/11/23,客,步行者85-96老鹰,15,胜
ATL,2016/11/25,客,爵士95-68老鹰,16,负
ATL,2016/11/27,客,湖人109-94老鹰,17,负
ATL,2016/11/28,客,勇士105-100老鹰,18,负
ATL,2016/11/30,客,太阳109-107老鹰,19,负
ATL,2016/11/4,客,奇才95-92老鹰,5,负
ATL,2016/11/5,主,火箭97-112老鹰,6,胜
ATL,2016/11/8,客,骑士106-110老鹰,7,胜
ATL,2016/11/9,主,公牛107-115老鹰,8,胜
ATL,2016/12/13,主,魔术131-120老鹰,25,负
ATL,2016/12/16,客,猛龙121-125老鹰,26,胜
ATL,2016/12/17,主,黄蜂107-99老鹰,27,负
ATL,2016/12/19,客,雷霆108-110老鹰,28,胜
ATL,2016/12/2,主,活塞121-85老鹰,20,负
ATL,2016/12/21,主,森林狼92-84老鹰,29,负
ATL,2016/12/23,客,掘金108-109老鹰,30,胜
ATL,2016/12/26,客,森林狼104-90老鹰,31,负
ATL,2016/12/28,主,尼克斯98-102老鹰,32,胜
ATL,2016/12/3,客,猛龙128-84老鹰,21,负
ATL,2016/12/30,主,活塞98-105老鹰,33,胜
ATL,2016/12/5,主,雷霆102-99老鹰,22,负
ATL,2016/12/7,主,热火95-103老鹰,23,胜
ATL,2016/12/9,客,雄鹿110-114老鹰,24,胜
ATL,2017/1/1,主,马刺112-114老鹰,34,胜
ATL,2017/1/10,客,篮网97-117老鹰,38,胜
ATL,2017/1/13,主,凯尔特103-101老鹰,39,负
ATL,2017/1/15,主,雄鹿98-111老鹰,40,胜
ATL,2017/1/16,客,尼克斯107-108老鹰,41,胜
ATL,2017/1/18,客,活塞118-95老鹰,42,负
ATL,2017/1/20,主,公牛93-102老鹰,43,胜
ATL,2017/1/21,主,76人93-110老鹰,44,胜
ATL,2017/1/23,主,快船115-105老鹰,45,负
ATL,2017/1/25,客,公牛114-119老鹰,46,胜
ATL,2017/1/27,主,奇才112-86老鹰,47,负
ATL,2017/1/29,主,尼克斯139-142老鹰,48,胜
ATL,2017/1/4,客,魔术92-111老鹰,35,胜
ATL,2017/1/5,客,鹈鹕94-99老鹰,36,胜
ATL,2017/1/7,客,小牛82-97老鹰,37,胜
ATL,2017/2/1,客,热火116-93老鹰,49,负
ATL,2017/2/10,客,国王108-107老鹰,54,负
ATL,2017/2/13,客,开拓者104-109老鹰,55,胜
ATL,2017/2/15,客,快船99-84老鹰,56,负
ATL,2017/2/2,客,火箭108-113老鹰,50,胜
ATL,2017/2/24,主,热火108-90老鹰,57,负
ATL,2017/2/25,客,魔术105-86老鹰,58,负
ATL,2017/2/27,客,凯尔特98-114老鹰,59,胜
ATL,2017/2/4,主,魔术86-113老鹰,51,胜
ATL,2017/2/6,主,爵士120-95老鹰,52,负
ATL,2017/2/8,主,掘金106-117老鹰,53,胜
ATL,2017/3/1,主,小牛95-100老鹰,60,胜
ATL,2017/3/10,主,猛龙99-105老鹰,65,胜
