TeamAB,时间,场,比赛,列1,果
ATL,2015/10/27,主,活塞106-94老鹰,1,负
ATL,2015/10/29,客,尼克斯101-112老鹰,2,胜
ATL,2015/10/30,主,黄蜂94-97老鹰,3,胜
ATL,2015/11/1,客,黄蜂92-94老鹰,4,胜
ATL,2015/11/11,主,鹈鹕98-106老鹰,10,胜
ATL,2015/11/13,客,凯尔特106-93老鹰,11,负
ATL,2015/11/15,主,爵士97-96老鹰,12,负
ATL,2015/11/17,客,篮网90-88老鹰,13,负
ATL,2015/11/18,主,国王97-103老鹰,14,胜
ATL,2015/11/21,客,骑士109-97老鹰,15,负
ATL,2015/11/24,主,凯尔特97-121老鹰,16,胜
ATL,2015/11/25,客,森林狼99-95老鹰,17,负
ATL,2015/11/27,客,灰熊101-116老鹰,18,胜
ATL,2015/11/28,客,马刺108-88老鹰,19,负
ATL,2015/11/3,客,热火92-98老鹰,5,胜
ATL,2015/11/30,主,雷霆100-106老鹰,20,胜
ATL,2015/11/4,主,篮网87-101老鹰,6,胜
ATL,2015/11/6,客,鹈鹕115-121老鹰,7,胜
ATL,2015/11/7,主,奇才99-114老鹰,8,胜
ATL,2015/11/9,主,森林狼117-107老鹰,9,负
ATL,2015/12/10,客,雷霆107-94老鹰,24,负
ATL,2015/12/12,主,马刺103-78老鹰,25,负
ATL,2015/12/14,主,热火100-88老鹰,26,负
ATL,2015/12/16,主,76人106-127老鹰,27,胜
ATL,2015/12/18,客,凯尔特101-109老鹰,28,胜
ATL,2015/12/2,主,猛龙96-86老鹰,21,负
ATL,2015/12/20,客,魔术100-103老鹰,29,胜
ATL,2015/12/21,主,开拓者97-106老鹰,30,胜
ATL,2015/12/23,主,活塞100-107老鹰,31,胜
ATL,2015/12/26,主,尼克斯98-117老鹰,32,胜
ATL,2015/12/28,客,步行者93-87老鹰,33,负
ATL,2015/12/29,客,火箭115-121老鹰,34,胜
ATL,2015/12/4,主,湖人87-100老鹰,22,胜
ATL,2015/12/9,客,小牛95-98老鹰,23,胜
ATL,2016/1/13,客,黄蜂107-84老鹰,39,负
ATL,2016/1/15,客,雄鹿108-101老鹰,40,负
ATL,2016/1/16,主,篮网86-114老鹰,41,胜
ATL,2016/1/18,主,魔术81-98老鹰,42,胜
ATL,2016/1/20,客,开拓者98-104老鹰,43,胜
ATL,2016/1/21,客,国王91-88老鹰,44,负
ATL,2016/1/23,客,太阳98-95老鹰,45,负
ATL,2016/1/25,客,掘金105-119老鹰,46,胜
ATL,2016/1/27,主,快船85-83老鹰,47,负
ATL,2016/1/28,客,步行者111-92老鹰,48,负
ATL,2016/1/3,客,尼克斯111-97老鹰,35,负
ATL,2016/1/31,客,热火105-87老鹰,49,负
ATL,2016/1/5,主,尼克斯107-101老鹰,36,负
ATL,2016/1/7,客,76人98-126老鹰,37,胜
ATL,2016/1/9,主,公牛105-120老鹰,38,胜
ATL,2016/2/1,主,小牛97-112老鹰,50,胜
ATL,2016/2/10,客,公牛90-113老鹰,55,胜
ATL,2016/2/19,主,热火115-111老鹰,56,负
ATL,2016/2/20,主,雄鹿117-109老鹰,57,负
ATL,2016/2/22,主,勇士102-92老鹰,58,负
ATL,2016/2/26,主,公牛88-103老鹰,59,胜
ATL,2016/2/28,主,黄蜂76-87老鹰,60,胜
ATL,2016/2/3,客,76人86-124老鹰,51,胜
ATL,2016/2/5,主,步行者96-102老鹰,52,胜
ATL,2016/2/7,客,魔术96-94老鹰,53,负
ATL,2016/2/8,主,魔术117-110老鹰,54,负
ATL,2016/3/1,客,勇士109-105老鹰,61,负
ATL,2016/3/10,客,猛龙104-96老鹰,65,负
ATL,2016/3/12,主,灰熊83-95老鹰,66,胜
ATL,2016/3/13,主,步行者75-104老鹰,67,胜
ATL,2016/3/16,客,活塞114-118老鹰,68,胜
ATL,2016/3/17,主,掘金98-116老鹰,69,胜
ATL,2016/3/19,主,火箭97-109老鹰,70,胜
ATL,2016/3/21,主,奇才117-102老鹰,71,负
ATL,2016/3/23,客,奇才101-122老鹰,72,胜
ATL,2016/3/25,主,雄鹿90-101老鹰,73,胜
ATL,2016/3/26,客,活塞95-112老鹰,74,胜
ATL,2016/3/28,客,公牛100-102老鹰,75,胜
ATL,2016/3/30,客,猛龙105-97老鹰,76,负
ATL,2016/3/4,客,湖人77-106老鹰,62,胜
ATL,2016/3/5,客,快船97-107老鹰,63,胜
ATL,2016/3/8,客,爵士84-91老鹰,64,胜
ATL,2016/4/1,主,骑士110-108老鹰,77,负
ATL,2016/4/11,客,骑士109-94老鹰,81,负
ATL,2016/4/13,客,奇才109-98老鹰,82,负
ATL,2016/4/5,主,太阳90-103老鹰,78,胜
ATL,2016/4/7,主,猛龙87-95老鹰,79,胜
ATL,2016/4/9,主,凯尔特107-118老鹰,80,胜
BKN,2015/10/28,主,公牛115-100篮网,1,负
BKN,2015/10/30,客,马刺102-75篮网,2,负
BKN,2015/10/31,客,灰熊101-91篮网,3,负
