2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Age,ATL,Guaranteed,Player,Signed Using
"$2,875,000","","","","","",26,SAS,"$2,875,000",Bryn Forbes,Early Bird Rights
"$2,905,800","$3,044,160","$4,675,830","","","",22,MIL,"$5,949,960",Donte DiVincenzo,1st Round Pick
"$2,907,143","$8,750,000","$8,050,000","$7,350,000","$6,650,000","",24,CLE,"$27,057,143",Cedi Osman,MLE
"$2,961,120","$4,548,280","","","","",23,MIL,"$7,509,400",D.J. Wilson,1st Round Pick
"$2,964,840","$3,113,160","$3,261,480","$5,009,633","","",21,NOP,"$6,078,000",Nickeil Alexander-Walker,1st Round Pick
"$20,000,000","$20,700,000","$21,700,000","$22,600,000","","",26,IND,"$85,000,000",Malcolm Brogdon,""
"$21,000,000","$21,000,000","","","","",27,IND,"$42,000,000",Victor Oladipo,1st Round Pick
"$22,615,559","","","","","",31,OKC,"$22,615,559",Danilo Gallinari,Sign and Trade
"$220,000","","","","","",38,DET,"$220,000",Joe Johnson,""
"$23,271,604","","","","","",30,TOR,"$23,271,604",Serge Ibaka,Cap Space
"$24,147,727","$22,215,909","$20,284,091","$18,352,273","","",27,SAC,"$85,000,000",Harrison Barnes,""
"$25,008,427","$26,525,281","","","","",27,UTA,"$51,533,708",Rudy Gobert,1st Round Pick
"$25,102,511","","","","","",31,ATL,"$25,102,511",Chandler Parsons,Cap Space
"$25,565,217","$27,130,434","","","","",30,CHO,"$25,565,217",Nicolas Batum,Cap Space
"$25,595,700","","","","","",34,TOR,"$25,595,700",Marc Gasol,Bird Rights
"$25,842,697","$27,528,090","","","","",25,MIL,"$53,370,787",Giannis Antetokounmpo,1st Round Pick
"$25,842,697","$27,528,090","","","","",26,OKC,"$53,370,787",Steven Adams,1st Round Pick
"$250,000","","","","","",27,UTA,"$250,000",Stanton Kidd,""
"$26,000,000","$24,000,000","","","","",34,SAS,"$50,000,000",LaMarcus Aldridge,Cap Space
"$26,131,111","$26,131,111","$27,020,000","","","",29,NOP,"$52,262,222",Jrue Holiday,Bird Rights
"$26,573,595","$28,542,009","$30,510,423","$32,478,837","","",24,DEN,"$118,104,864",Nikola Jokić,""
"$27,093,018","","","","","",30,POR,"$27,093,018",Hassan Whiteside,Cap Space
"$27,093,019","$28,751,775","","","","",26,DET,"$27,093,019",Andre Drummond,Cap Space
"$27,093,019","$28,751,775","","","","",26,LAL,"$27,093,019",Anthony Davis,1st Round Pick
"$27,093,019","$28,751,775","$34,502,130","$37,262,300","","",26,WAS,"$90,346,924",Bradley Beal,Cap Space
"$27,250,000","$29,430,000","$31,610,000","$33,790,000","$35,970,000","",24,MIN,"$155,870,000",Karl-Anthony Towns,1st Round Pick
"$27,250,000","$29,430,000","$31,610,000","$33,790,000","$35,970,000","",23,PHO,"$158,050,000",Devin Booker,1st Round Pick
"$27,250,576","$28,489,239","","","","",26,CHI,"$27,250,576",Otto Porter,Bird Rights
"$27,270,000","$29,290,000","$31,310,000","$33,330,000","","",24,MIN,"$121,200,000",Andrew Wiggins,1st Round Pick
"$27,285,000","$28,649,250","$30,013,500","$31,377,750","","",23,GSW,"$117,325,500",D'Angelo Russell,""
"$27,285,000","$29,467,800","$31,650,600","$33,833,400","$36,016,200","",24,DAL,"$122,236,800",Kristaps Porziņģis,""
"$27,504,630","$29,542,010","$31,579,390","$33,616,770","","",25,PHI,"$122,242,800",Joel Embiid,1st Round Pick
"$27,556,959","$29,354,152","$30,864,198","$33,333,333","$35,802,469","",28,POR,"$156,911,111",CJ McCollum,1st Round Pick
"$27,739,975","$27,739,975","","","","",30,SAS,"$27,739,975",DeMar DeRozan,Cap Space
"$28,000,000","$26,000,000","$24,000,000","$22,000,000","","",29,ORL,"$100,000,000",Nikola Vučević,""
"$28,000,000","$27,500,000","$27,000,000","$26,500,000","","",33,PHI,"$97,000,000",Al Horford,""
"$28,900,000","$31,300,000","$31,300,000","$28,900,000","","",31,CLE,"$120,400,000",Kevin Love,Bird Rights
"$29,802,321","$31,626,953","$43,750,000","$47,250,000","$50,750,000","$54,250,000",29,POR,"$257,429,274",Damian Lillard,1st Round Pick
"$3,000,000","","","","","",33,CHI,"$3,000,000",Ömer Aşık,""
"$3,000,000","$3,000,000","","","","",26,LAL,"$4,000,000",Quinn Cook,""
"$3,000,000","$3,000,000","","","","",27,ORL,"$6,000,000",Khem Birch,""
"$3,000,000","$3,000,000","$3,000,000","","","",25,CHI,"$6,000,000",Ryan Arcidiacono,""
"$3,039,097","","","","","",33,MEM,"$3,039,097",Dwight Howard,""
"$3,058,800","$3,204,600","$4,915,856","","","",20,PHI,"$6,263,400",Zhaire Smith,1st Round Pick
"$3,117,240","","","","","",23,BOS,"$3,117,240",Guerschon Yabusele,""
"$3,150,000","","","","","",26,SAC,"$3,150,000",Yogi Ferrell,Cap Space
"$3,169,348","$3,169,348","$3,169,347","","","",30,MIL,"$9,508,043",Jon Leuer,""
"$3,200,000","$3,360,000","","","","",30,DET,"$3,200,000",Markieff Morris,Bi-Annual Exception
"$3,219,480","$3,372,840","$5,170,564","","","",20,WAS,"$6,592,320",Troy Brown,1st Round Pick
"$3,280,920","$5,029,650","","","","",24,DAL,"$8,310,570",Justin Jackson,1st Round Pick
"$3,285,120","$3,449,400","$3,613,680","$5,539,771","","",18,DET,"$6,734,520",Sekou Doumbouya,1st Round Pick
"$3,321,030","","","","","",24,DEN,"$3,321,030",Juan Hernangómez,1st Round Pick
"$3,377,569","","","","","",26,CHI,"$3,377,569",Denzel Valentine,1st Round Pick
"$3,389,400","$3,550,800","$5,258,735","","","",21,DEN,"$6,940,200",Michael Porter,1st Round Pick
"$3,440,000","","","","","",38,PHO,"$3,440,000",Kyle Korver,""
"$3,454,080","$5,115,492","","","","",22,MIA,"$8,569,572",Bam Adebayo,1st Round Pick
"$3,458,400","$3,631,200","$3,804,360","$5,634,257","","",20,BOS,"$7,089,600",Romeo Langford,1st Round Pick
"$3,481,986","","","","","",25,PHO,"$3,481,986",Dario Šarić,1st Round Pick
"$3,481,986","$13,942,308","$15,057,692","","","",25,BRK,"$32,481,986",Taurean Waller-Prince,1st Round Pick
"$3,500,000","","","","","",29,LAL,"$3,500,000",DeMarcus Cousins,""
"$3,500,000","$3,500,000","","","","",31,DAL,"$7,000,000",Boban Marjanović,Bi-Annual Exception
"$3,500,000","$3,500,000","","","","",27,IND,"$4,500,000",T.J. McConnell,Cap Space
"$3,500,000","$3,500,000","","","","",34,MIL,"$7,000,000",Mirza Teletović,""
"$3,529,555","$17,187,500","$18,562,500","$19,937,500","$21,312,500","",23,IND,"$80,529,555",Domantas Sabonis,1st Round Pick
"$3,540,000","$3,717,000","$3,894,000","","","",26,HOU,"$11,151,000",Danuel House,MLE
"$3,551,100","","","","","",23,NYK,"$3,551,100",Allonzo Trier,Bi-Annual Exception
"$3,567,720","$3,737,520","$5,340,916","","","",22,LAC,"$7,305,240",Jerome Robinson,1st Round Pick
"$3,569,643","","","","","",22,DET,"$3,569,643",Thon Maker,1st Round Pick
"$3,581,986","$3,761,085","$3,940,184","","","",25,MIN,"$11,283,255",Jake Layman,""
"$3,623,000","$3,801,000","","","","",23,TOR,"$3,623,000",Stanley Johnson,Bi-Annual Exception
"$3,635,760","$5,195,501","","","","",23,UTA,"$8,831,261",Donovan Mitchell,1st Round Pick
"$3,640,200","$3,822,240","$4,004,280","$5,722,116","","",19,MIA,"$7,462,440",Tyler Herro,1st Round Pick
"$3,754,886","","","","","",24,SAS,"$3,754,886",Jakob Pöltl,1st Round Pick
"$3,755,400","$3,934,320","$5,421,493","","","",21,CHO,"$7,689,720",Miles Bridges,1st Round Pick
"$3,827,160","$5,273,826","","","","",23,DET,"$9,100,986",Luke Kennard,1st Round Pick
"$3,831,840","$4,023,600","$4,215,120","$5,808,435","","",21,CHO,"$7,855,440",PJ Washington,1st Round Pick
"$3,902,439","$4,097,561","","","","",28,NOP,"$8,000,000",Nicolò Melli,Room Exception
"$3,952,920","$4,141,320","$5,495,532","","","",21,OKC,"$8,094,240",Shai Gilgeous-Alexander,1st Round Pick
"$30,500,000","","","","","",34,DEN,"$30,500,000",Paul Millsap,Cap Space
"$30,603,448","$33,051,724","$35,500,000","$37,948,276","$40,396,552","",28,MIL,"$137,103,448",Khris Middleton,""
"$31,034,483","$33,517,241","$36,000,000","$38,482,759","$40,965,517","",27,PHI,"$180,000,000",Tobias Harris,""
"$31,742,000","$33,329,100","$34,916,200","$36,503,300","","",27,BRK,"$136,490,600",Kyrie Irving,""
"$32,511,623","$34,504,132","","","","",32,UTA,"$54,938,006",Mike Conley,Cap Space
"$32,700,690","$34,187,085","","","","",29,BOS,"$32,700,690",Gordon Hayward,Cap Space
"$32,742,000","$34,379,100","$36,016,200","","","",28,LAC,"$67,121,100",Kawhi Leonard,""
"$32,742,000","$34,379,100","$36,016,200","$37,653,300","","",30,MIA,"$103,137,300",Jimmy Butler,""
"$32,742,000","$35,361,360","$37,980,720","$40,600,080","$43,219,440","",29,GSW,"$189,903,600",Klay Thompson,""
"$33,005,556","$35,450,412","$37,895,268","","","",29,LAC,"$68,455,968",Paul George,Maximum Salary
"$33,296,296","$30,000,000","","","","",33,TOR,"$63,296,296",Kyle Lowry,Bird Rights
"$333,333","","","","","",35,ORL,"$333,333",C.J. Watson,""
"$333,333","","","","","",30,POR,"$333,333",Festus Ezeli,""
"$34,234,964","$36,595,996","$38,957,028","","","",30,DET,"$70,830,960",Blake Griffin,Bird Rights
"$34,379,100","$32,742,000","$36,016,200","$37,653,300","","",29,BOS,"$103,137,300",Kemba Walker,""
"$350,087","$350,087","","","","",27,MIA,"$700,174",A.J. Hammons,""
"$37,199,000","$39,058,950","$40,918,900","$42,778,850","","",31,BRK,"$117,176,850",Kevin Durant,""
"$37,436,858","$39,219,565","$41,002,273","","","",34,LAL,"$76,656,423",LeBron James,""
"$37,800,000","$40,824,000","$43,848,000","$46,872,000","","",30,HOU,"$122,472,000",James Harden,Bird Rights
"$37,800,000","$40,824,000","$43,848,000","$46,872,000","","",29,WAS,"$122,472,000",John Wall,Bird Rights
"$371,758","","","","","",22,MEM,"$371,758",Ivan Rabb,""
"$38,178,000","$41,006,000","$43,848,000","$46,662,000","","",31,HOU,"$123,032,000",Russell Westbrook,Bird Rights
"$38,506,482","$41,358,814","$44,211,146","","","",34,OKC,"$124,076,442",Chris Paul,""
"$4,000,000","$4,000,000","","","","",24,TOR,"$8,000,000",Patrick McCaw,MLE
"$4,000,000","$4,000,000","$4,000,000","","","",26,DAL,"$12,000,000",Dorian Finney-Smith,""
"$4,000,000","$4,200,000","","","","",31,LAL,"$8,200,000",JaVale McGee,""
"$4,000,000","$4,200,000","","","","",28,NYK,"$5,000,000",Reggie Bullock,Room Exception
"$4,028,400","$5,345,687","","","","",21,CHO,"$9,374,087",Malik Monk,1st Round Pick
"$4,033,440","$4,235,160","$4,437,000","$5,887,899","","",23,PHO,"$8,268,600",Cameron Johnson,1st Round Pick
"$4,160,000","","","","","",26,ATL,"$4,160,000",Alex Len,Room Exception
"$4,161,000","$4,359,000","$5,557,725","","","",23,PHO,"$8,520,000",Mikal Bridges,1st Round Pick
"$4,240,200","$5,406,255","","","","",22,POR,"$9,646,455",Zach Collins,1st Round Pick
"$4,245,720","$4,458,000","$4,670,160","$5,954,454","","",20,ATL,"$8,703,720",Cam Reddish,1st Round Pick
"$4,380,120","$4,588,680","$5,845,978","","","",20,NYK,"$8,968,800",Kevin Knox,1st Round Pick
"$4,444,746","$29,250,000","$31,590,000","$33,930,000","$36,270,000","$38,610,000",22,DEN,"$174,094,746",Jamal Murray,1st Round Pick
"$4,463,640","$5,686,677","","","","",22,NYK,"$10,150,317",Dennis Smith,1st Round Pick
"$4,469,160","$4,692,840","$4,916,160","$6,263,188","","",21,WAS,"$9,162,000",Rui Hachimura,1st Round Pick
"$4,629,630","$5,000,000","$5,370,370","","","",23,GSW,"$9,629,630",Kevon Looney,""
"$4,629,630","$5,000,000","$5,370,370","","","",28,LAC,"$15,000,000",Rodney McGruder,""
"$4,764,960","$4,991,880","$6,349,671","","","",20,CLE,"$9,756,840",Collin Sexton,1st Round Pick
"$4,767,000","","","","","",30,IND,"$4,767,000",Justin Holiday,Room Exception
"$4,767,000","$5,005,350","","","","",27,BOS,"$4,767,000",Enes Kanter,Room Exception
"$4,767,000","$5,005,350","","","","",33,BRK,"$4,767,000",Garrett Temple,Room Exception
"$4,767,000","$5,005,350","","","","",29,LAC,"$4,767,000",JaMychal Green,Room Exception
"$4,767,000","$5,005,350","","","","",29,LAL,"$9,772,350",Avery Bradley,Room Exception
"$4,767,000","$5,005,350","","","","",31,MIL,"$4,767,000",Robin Lopez,Room Exception
"$4,767,000","$5,005,350","","","","",31,PHI,"$9,772,350",Mike Scott,Room Exception
"$4,767,000","$5,005,350","","","","",26,PHO,"$9,772,350",Frank Kaminsky,Room Exception
"$4,767,000","$5,005,350","","","","",26,SAC,"$9,772,350",Richaun Holmes,Room Exception
"$4,767,000","$5,005,350","","","","",30,UTA,"$9,772,350",Ed Davis,Room Exception
"$4,855,800","$6,176,578","","","","",21,NYK,"$11,032,378",Frank Ntilikina,1st Round Pick
"$4,861,208","$24,431,818","$22,477,273","$20,522,727","$18,568,182","",26,SAC,"$90,861,208",Buddy Hield,1st Round Pick
"$4,862,040","$5,105,160","$5,348,280","$6,803,012","","",19,NOP,"$9,967,200",Jaxson Hayes,1st Round Pick
"$4,990,000","$4,990,000","$4,990,000","","","",34,LAL,"$14,970,000",Luol Deng,""
"$40,231,758","$43,006,362","$45,780,966","","","",31,GSW,"$129,019,086",Stephen Curry,Bird Rights
"$415,414","","","","","",23,BOS,"$415,414",Max Strus,""
"$459,414","$459,414","","","","",24,MEM,"$918,828",Dakari Johnson,""
"$5,000,000","$5,000,000","","","","",27,BOS,"$5,000,000",Daniel Theis,""
"$5,100,000","","","","","",39,SAS,"$5,100,000",Pau Gasol,""
"$5,201,400","$5,448,840","$6,920,027","","","",20,CHI,"$10,650,240",Wendell Carter,1st Round Pick
"$5,214,583","$5,214,583","$5,214,584","","","",31,MIA,"$15,643,750",Ryan Anderson,""
"$5,300,400","$6,731,508","","","","",22,CHI,"$12,031,908",Lauri Markkanen,1st Round Pick
"$5,307,120","$5,572,680","$5,837,760","$7,413,955","","",19,CHI,"$10,879,800",Coby White,1st Round Pick
"$5,331,729","","","","","",34,DET,"$5,331,729",Josh Smith,""
"$5,348,007","","","","","",25,CHI,"$5,348,007",Kris Dunn,1st Round Pick
"$5,453,280","","","","","",32,PHO,"$5,453,280",Aron Baynes,""
"$5,474,787","","","","","",35,BRK,"$5,474,787",Deron Williams,""
"$5,500,000","$5,500,000","","","","",24,SAS,"$5,500,000",Trey Lyles,MLE
"$5,573,333","$5,573,333","$5,573,334","","","",33,ORL,"$16,720,000",Timofey Mozgov,""
"$5,697,600","$5,969,040","$7,568,742","","","",21,ORL,"$11,666,640",Mo Bamba,1st Round Pick
"$5,718,000","$6,003,900","","","","",27,POR,"$5,718,000",Rodney Hood,MLE
"$5,806,440","$7,362,566","","","","",22,ORL,"$13,169,006",Jonathan Isaac,1st Round Pick
"$5,813,640","$6,104,280","$6,395,160","$8,109,063","","",20,MIN,"$11,917,920",Jarrett Culver,1st Round Pick
"$5,846,154","","","","","",33,SAS,"$5,846,154",Marco Belinelli,MLE
"$5,853,659","$6,146,341","","","","",31,WAS,"$12,000,000",Ish Smith,MLE
"$50,000","","","","","",28,SAC,"$50,000",Hollis Thompson,""
"$50,000","","","","","",23,SAC,"$50,000",Tyler Lydon,""
"$50,000","","","","","",23,SAC,"$50,000",Tyler Ulis,""
"$50,000","","","","","",25,TOR,"$50,000",Isaiah Taylor,""
"$50,000","","","","","",26,UTA,"$50,000",William Howard,""
"$500,000","","","","","",31,HOU,"$500,000",Ryan Anderson,""
"$6,000,000","","","","","",25,LAC,"$6,000,000",Montrezl Harrell,""
"$6,273,000","$6,571,800","$8,326,471","","","",21,ATL,"$12,844,800",Trae Young,1st Round Pick
"$6,392,760","$8,099,627","","","","",21,SAC,"$14,492,387",De'Aaron Fox,1st Round Pick
"$6,400,920","$6,720,720","$7,040,880","$8,920,795","","",19,CLE,"$13,121,640",Darius Garland,1st Round Pick
"$6,431,666","$6,431,666","$6,431,666","","","",34,NYK,"$19,294,998",Joakim Noah,""
"$6,481,482","$7,000,000","$7,518,518","$7,518,518","","",22,LAC,"$21,000,000",Ivica Zubac,""
"$6,500,000","$6,500,000","","","","",24,ATL,"$6,500,000",Jabari Parker,""
"$6,534,829","$22,991,071","$24,830,357","$26,669,643","$28,508,929","",23,BOS,"$109,534,829",Jaylen Brown,1st Rd pick
"$6,825,000","$7,150,000","","","","",31,SAC,"$6,825,000",Nemanja Bjelica,""
"$6,927,480","$7,257,360","$9,180,560","","","",20,MEM,"$14,184,840",Jaren Jackson,1st Round Pick
"$666,667","$666,667","$666,666","","","",34,GSW,"$2,666,666",Shaun Livingston,""
"$685,340","$685,340","","","","",31,MIN,"$1,370,680",Cole Aldrich,""
"$7,000,000","","","","","",27,WAS,"$7,000,000",Dāvis Bertāns,Early Bird Rights
"$7,000,000","$6,650,000","$7,000,000","","","",33,SAS,"$15,000,000",DeMarre Carroll,""
"$7,000,000","$7,000,000","","","","",32,MIL,"$7,000,000",Ersan İlyasova,MLE
"$7,059,480","","","","","",22,MEM,"$7,059,480",Josh Jackson,1st Round Pick
"$7,068,360","$7,422,000","$7,775,400","$9,835,881","","",22,ATL,"$14,490,360",De'Andre Hunter,1st Round Pick
"$7,250,000","","","","","",32,ORL,"$7,250,000",D.J. Augustin,Cap Space
"$7,250,000","$7,000,000","","","","",29,NOP,"$7,250,000",Darius Miller,""
"$7,265,485","","","","","",22,NOP,"$7,265,485",Brandon Ingram,1st Round Pick
"$7,317,073","$7,682,927","","","","",31,DET,"$15,000,000",Derrick Rose,MLE
"$7,333,333","","","","","",27,DET,"$7,333,333",Langston Galloway,MLE
"$7,333,334","$7,333,333","","","","",27,IND,"$14,666,667",Doug McDermott,""
"$7,441,860","$7,813,953","$8,186,047","$8,558,140","","",29,DAL,"$32,000,000",Seth Curry,MLE
"$7,670,000","","","","","",28,BRK,"$7,670,000",Joe Harris,Early Bird Rights
"$7,683,360","$8,049,360","$10,174,391","","","",20,DAL,"$15,732,720",Luka Dončić,1st Round Pick
"$7,804,878","$8,195,122","","","","",32,NYK,"$7,804,878",Wayne Ellington,""
"$7,815,533","","","","","",29,MEM,"$7,815,533",Jae Crowder,Bird Rights
"$7,830,000","$9,897,120","","","","",21,BOS,"$17,727,120",Jayson Tatum,1st Round Pick
"$7,839,960","$8,231,760","$8,623,920","$10,900,635","","",19,NYK,"$16,071,720",RJ Barrett,1st Round Pick
"$7,936,508","$8,333,333","$8,730,159","","","",22,WAS,"$25,000,000",Thomas Bryant,""
"$737,067","$737,067","$737,066","","","",30,OKC,"$2,211,200",Patrick Patterson,""
"$8,000,000","$8,000,000","","","","",33,LAC,"$16,000,000",Lou Williams,Cap Space
"$8,000,000","$8,000,000","","","","",25,NYK,"$9,000,000",Elfrid Payton,""
"$8,000,000","$8,250,000","$8,750,000","$9,000,000","","",27,DAL,"$25,000,000",Maxi Kleber,""
"$8,089,282","$8,493,746","","","","",26,LAL,"$8,089,282",Kentavious Caldwell-Pope,""
"$8,113,930","$29,250,000","$31,590,000","$33,930,000","$36,270,000","$38,610,000",23,PHI,"$177,763,930",Ben Simmons,1st Round Pick
"$8,156,500","$7,529,020","","","","",27,CHI,"$15,685,520",Cristiano Felício,Cap Space
"$8,349,039","$7,969,537","","","","",34,HOU,"$10,918,227",P.J. Tucker,MLE
"$8,408,000","$7,965,100","$7,522,200","","","",23,MEM,"$23,895,300",Tyus Jones,MLE
"$8,529,386","","","","","",27,SAC,"$8,529,386",Bogdan Bogdanović,Cap Space
"$8,556,120","$8,963,640","$11,312,114","","","",20,SAC,"$17,519,760",Marvin Bagley,1st Round Pick
"$8,664,928","","","","","",30,NOP,"$8,664,928",E'Twaun Moore,Cap Space
"$8,719,320","$11,003,782","","","","",22,NOP,"$19,723,102",Lonzo Ball,1st Round Pick
"$8,730,158","","","","","",32,WAS,"$8,730,158",C.J. Miles,MLE
"$8,730,240","$9,166,800","$9,603,360","$12,119,440","","",20,MEM,"$17,897,040",Ja Morant,1st Round Pick
"$838,464","$1,663,861","","","","",23,DET,"$838,464",Khyri Thomas,MLE
"$898,310","","","","","",26,CHI,"$175,000",Shaquille Harrison,""
"$898,310","$1,517,981","","","","",26,BOS,"$100,000",Javonte Green,Minimum Salary
"$898,310","$1,517,981","","","","",19,LAL,"$2,416,291",Talen Horton-Tucker,Minimum Salary
"$898,310","$1,517,981","","","","",22,TOR,"$898,310",Terence Davis,Minimum Salary
"$898,310","$1,517,981","$1,782,621","","","",20,BRK,"$4,198,912",Nicolas Claxton,Minimum Salary
"$898,310","$1,517,981","$1,782,621","","","",24,CHO,"",Caleb Martin,""
"$898,310","$1,517,981","$1,782,621","","","",23,GSW,"$4,198,912",Eric Paschall,MLE
"$898,310","$1,517,981","$1,782,621","","","",20,MIA,"$4,198,912",KZ Okpala,MLE
"$898,310","$1,517,981","$1,782,621","","","",20,NYK,"$2,416,291",Ignas Brazdeikis,Minimum Salary
"$898,310","$1,517,981","$1,782,621","","","",22,SAC,"$2,416,291",Justin James,Minimum Salary
"$898,310","$1,517,981","$1,782,621","","","",25,TOR,"$1,623,310",Matt Thomas,MLE
"$898,310","$1,517,981","$1,782,621","","","",22,TOR,"$500,000",Dewan Hernandez,MLE
"$898,310","$1,517,981","$1,782,621","","","",22,UTA,"$898,310",Miye Oni,Minimum Salary
"$898,310","$1,517,981","$1,782,621","","","",22,WAS,"$250,000",Justin Robinson,MLE
"$898,310","$1,517,981","$1,782,621","","","",22,WAS,"$4,198,912",Admiral Schofield,MLE
"$898,310","$1,517,981","$1,782,621","$1,930,681","","",21,CHI,"$2,416,291",Daniel Gafford,Minimum Salary
"$898,310","$1,517,981","$1,782,621","$1,930,681","","",19,GSW,"$2,415,891",Alen Smailagić,MLE
"$898,310","$1,517,981","$1,782,621","$1,930,681","","",20,MIN,"$898,310",Naz Reid,MLE
"$898,310","$1,517,981","$1,782,621","$1,930,681","","",19,PHO,"$2,416,291",Jalen Lecque,""
"$9,000,000","","","","","",25,TOR,"$9,000,000",Fred VanVleet,Bird Rights
"$9,073,050","$9,505,100","$9,937,150","","","",26,MEM,"$28,515,300",Kyle Anderson,MLE
"$9,133,907","$9,590,602","$10,047,297","","","",33,MIL,"$20,000,000",George Hill,""
"$9,258,000","$9,720,900","$10,183,800","","","",29,ORL,"$29,162,700",Al-Farouq Aminu,MLE
"$9,346,153","$9,346,153","","","","",25,DEN,"$9,346,153",Jerami Grant,""
"$9,473,684","$9,000,000","$8,526,316","","","",27,DAL,"$27,000,000",Delon Wright,""
"$9,562,920","$10,018,200","$12,632,950","","","",21,PHO,"$19,581,120",Deandre Ayton,1st Round Pick
"$9,600,000","$9,600,000","","","","",24,UTA,"$18,200,000",Dante Exum,Cap Space
"$9,607,500","","","","","",29,CLE,"$9,607,500",Matthew Dellavedova,Cap Space
"$9,732,396","","","","","",28,CLE,"$9,732,396",John Henson,1st Round Pick
"$9,745,200","$12,288,697","","","","",21,ORL,"$22,033,897",Markelle Fultz,1st Round Pick
"$9,757,440","$10,245,480","$10,733,400","$13,534,817","","",19,NOP,"$20,002,920",Zion Williamson,1st Round Pick
"$9,800,000","$10,290,000","","","","",34,NYK,"$9,800,000",Taj Gibson,""
"$9,881,598","$10,375,678","$9,881,598","$9,821,842","","",31,BRK,"$39,960,716",DeAndre Jordan,""
"$92,857","$92,857","$92,857","$92,857","$92,857","",25,BOS,"$464,285",Demetrius Jackson,""
"$999,200","$999,200","$999,200","$999,200","","",31,OKC,"$3,996,800",Kyle Singler,""
