2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Age,ATL,Guaranteed,Player,Signed Using
"$1,416,852","$1,663,861","","","","",24,MIA,"$450,000",Kendrick Nunn,""
"$1,416,852","$1,663,861","","","","",23,MIN,"$1,416,852",Keita Bates-Diop,MLE
"$1,416,852","$1,663,861","","","","",21,OKC,"$1,416,852",Hamidou Diallo,MLE
"$1,416,852","$1,663,861","","","","",23,ORL,"$1,416,852",Melvin Frazier,MLE
"$1,416,852","$1,663,861","","","","",20,POR,"$3,080,713",Gary Trent,MLE
"$1,416,852","$1,663,861","","","","",22,SAS,"$1,416,852",Chimezie Metu,MLE
"$1,416,852","$1,663,861","","","","",20,WAS,"$1,416,852",Isaac Bonga,""
"$1,416,852","$1,663,861","$1,802,057","","","",22,PHO,"$1,416,852",Elie Okobo,""
"$1,443,842","","","","","",29,DAL,"$1,443,842",Ryan Broekhoff,""
"$1,445,697","","","","","",30,BOS,"$1,445,697",Brad Wanamaker,Minimum Salary
"$1,445,697","","","","","",24,LAC,"",Derrick Walton,Minimum Salary
"$1,445,697","$1,701,593","","","","",24,BRK,"$1,445,697",Theo Pinson,""
"$1,445,697","$1,701,593","","","","",27,MIL,"$3,147,290",Thanasis Antetokounmpo,Minimum Salary
"$1,456,667","$1,456,667","$1,456,666","","","",34,CLE,"$4,370,000",J.R. Smith,""
"$1,500,000","$1,517,981","$1,782,621","","","",25,UTA,"$1,500,000",Nigel Williams-Goss,""
"$1,500,000","$1,517,981","$1,782,621","$1,930,681","","",21,DAL,"$3,017,981",Isaiah Roby,MLE
"$1,517,981","$898,310","$1,782,621","","","",22,DEN,"$2,416,291",Vlatko Čančar,MLE
"$1,559,712","$1,663,861","$1,802,057","","","",21,NYK,"$1,559,712",Mitchell Robinson,MLE
"$1,588,231","","","","","",25,ATL,"",Tyrone Wallace,Minimum Salary
"$1,588,231","","","","","",27,CLE,"",Alfonzo McKinnie,Minimum Salary
"$1,588,231","","","","","",26,TOR,"$1,588,231",Chris Boucher,""
"$1,588,231","","","","","",26,TOR,"$1,588,231",Malcolm Miller,""
"$1,588,231","$1,663,861","","","","",24,DEN,"$1,588,231",Monte Morris,Minimum Salary
"$1,618,520","","","","","",24,CHO,"$1,618,520",Dwayne Bacon,MLE
"$1,618,520","","","","","",23,MEM,"$1,618,520",Dillon Brooks,MLE
"$1,618,520","","","","","",24,MIL,"$1,618,520",Sterling Brown,MLE
"$1,618,520","","","","","",21,NOP,"$1,618,520",Frank Jackson,MLE
"$1,618,520","","","","","",25,NYK,"$1,618,520",Damyean Dotson,Minimum Salary
"$1,618,520","","","","","",24,ORL,"$1,618,520",Wesley Iwundu,""
"$1,618,520","","","","","",26,UTA,"",Royce O'Neale,Cap Space
"$1,618,520","$1,752,950","","","","",25,BOS,"$1,618,520",Semi Ojeleye,""
"$1,618,520","$1,752,950","","","","",26,OKC,"$1,618,520",Abdel Nader,""
"$1,620,564","","","","","",24,MIN,"$1,620,564",Jordan Bell,Minimum Salary
"$1,620,564","$1,762,796","","","","",22,PHI,"$1,620,564",Furkan Korkmaz,Minimum Salary
"$1,620,564","$1,762,796","$1,910,860","","","",22,OKC,"$700,000",Justin Patton,""
"$1,645,357","","","","","",24,DET,"$822,679",Christian Wood,Minimum Salary
"$1,645,357","","","","","",22,MIA,"$1,645,357",Derrick Jones,Minimum Salary
