出场,出手,出手_2,出手_4,得分,罚球,盖帽,犯规,后场,篮板,命中,命中_1,命中_3,前场,抢断,球员,三分,时间,首发,投篮,失误,助攻,ATL
22,86.1,30.0,25.3,100.5,67.3%,4.7,23.8,32.2,44.1,36.4,10.7,17.0,11.9,7.8,全队数据,35.8%,18,4,42.2%,14.8,19.8,NYK
22,86.2,29.5,23.1,108.8,74.8%,5.7,22.9,36.6,46.3,40.4,10.7,17.3,9.7,8.8,全队数据,36.2%,7,15,46.9%,16.0,26.0,PHI
19,86.4,33.2,23.3,101.4,73.8%,4.8,21.0,35.5,45.1,37.1,10.2,17.2,9.6,7.4,对手数据,30.6%,14,5,42.9%,13.9,23.9,DEN
20,86.7,34.7,19.5,104.9,77.7%,4.9,22.3,31.8,41.8,38.8,12.2,15.2,10.1,7.7,全队数据,35.1%,12,8,44.8%,15.1,22.9,SAC
23,86.7,35.6,20.5,105.4,73.2%,4.3,19.5,31.4,42.0,38.7,13.0,15.0,10.5,6.8,全队数据,36.4%,14,9,44.7%,15.1,24.2,CHA
20,86.7,36.0,22.4,103.9,73.7%,5.9,22.5,35.9,47.0,37.6,12.3,16.5,11.1,5.9,对手数据,34.2%,15,5,43.3%,15.9,22.9,BOS
21,86.8,32.2,26.2,114.1,77.3%,5.7,24.4,36.0,45.3,41.0,11.9,20.2,9.3,7.8,对手数据,37.0%,10,11,47.3%,16.7,24.9,PHO
21,87.0,31.8,21.3,104.4,78.1%,4.8,19.3,33.4,42.4,38.3,11.1,16.6,9.0,6.7,对手数据,34.9%,14,7,44.1%,14.5,22.5,IND
20,87.3,31.8,22.1,104.2,77.8%,3.2,17.9,33.7,44.0,38.1,10.9,17.2,10.3,7.3,全队数据,34.2%,15,5,43.6%,14.5,20.4,CLE
22,87.5,33.1,20.7,103.3,79.8%,3.3,21.1,32.7,42.5,37.8,11.1,16.5,9.8,8.1,对手数据,33.6%,19,3,43.2%,15.9,23.2,LAL
22,87.6,29.9,20.6,108.8,77.5%,4.9,19.8,31.8,41.4,40.9,11.0,16.0,9.5,8.4,对手数据,36.8%,8,14,46.7%,13.4,25.0,DET
21,87.8,30.8,22.0,103.5,77.9%,6.6,18.7,35.0,45.8,38.1,10.1,17.1,10.8,8.1,全队数据,33.0%,11,10,43.5%,13.1,22.5,ORL
21,87.9,36.6,22.6,112.9,80.6%,5.1,21.4,36.9,46.1,40.2,14.2,18.2,9.2,8.2,全队数据,38.9%,6,15,45.8%,14.4,25.8,TOR
23,88.3,34.3,18.5,112.8,75.3%,4.3,20.3,35.3,45.6,43.1,12.7,13.9,10.3,8.7,对手数据,37.1%,9,14,48.8%,14.7,27.6,CHA
22,88.4,29.7,22.0,112.3,73.4%,7.4,19.9,35.4,45.5,42.7,10.7,16.2,10.0,8.6,全队数据,36.1%,3,19,48.3%,14.5,26.5,LAL
23,88.6,28.4,23.4,104.9,83.1%,4.6,19.0,32.9,43.2,38.1,9.2,19.5,10.3,7.8,全队数据,32.5%,19,4,43.0%,14.0,23.8,GSW
22,88.7,32.2,23.6,108.0,74.6%,4.9,22.8,31.5,41.7,40.2,10.0,17.6,10.2,8.8,全队数据,31.2%,17,5,45.3%,17.2,23.3,ATL
22,88.8,34.8,26.7,117.8,79.2%,7.6,21.6,33.4,45.4,41.9,12.8,21.1,12.0,9.0,对手数据,36.8%,5,17,47.2%,16.0,24.3,ATL
21,89.2,35.6,24.7,115.6,81.1%,4.0,23.1,33.0,42.1,41.3,13.0,20.0,9.1,8.0,全队数据,36.5%,11,10,46.3%,13.9,28.2,PHO
20,89.3,30.2,20.1,108.3,80.8%,4.8,22.6,35.4,45.7,40.7,10.6,16.3,10.4,7.2,对手数据,35.1%,8,12,45.6%,14.0,22.7,OKC
23,89.5,34.2,20.9,114.7,76.0%,5.8,20.2,35.1,46.0,42.6,13.6,15.9,10.9,7.7,对手数据,39.8%,4,19,47.6%,14.4,25.9,GSW
22,89.5,34.8,24.8,107.8,76.0%,4.9,24.1,34.4,45.3,38.4,12.1,18.9,11.0,8.1,对手数据,34.7%,16,6,42.9%,15.0,22.2,LAC
22,89.5,35.3,24.0,106.4,74.9%,4.1,22.8,33.2,43.9,38.0,12.3,18.0,10.7,9.5,全队数据,34.7%,14,8,42.5%,15.0,22.8,CHI
20,89.8,33.0,17.7,112.8,75.4%,7.0,21.1,35.2,45.0,43.6,12.3,13.3,9.8,8.1,对手数据,37.3%,5,15,48.6%,13.0,26.0,CLE
21,9.0,0.3,5.5,13.9,65.5%,1.2,2.5,8.0,10.4,5.1,0.0,3.6,2.4,1.4,埃德里斯-阿德巴约,16.7%,32.6,21,56.3%,2.9,4.0,MIA
23,9.0,3.0,2.1,11.7,65.3%,0.7,2.7,4.1,5.0,4.5,1.3,1.4,0.9,1.1,P.J.华盛顿,42.9%,27.9,23,50.0%,1.2,1.7,CHA
22,9.1,3.2,2.5,11.4,88.9%,0.6,1.5,4.6,5.9,4.2,0.9,2.2,1.3,0.4,鲁迪-盖伊,27.1%,23.2,3,46.0%,1.6,1.9,SAS
14,9.1,3.9,2.1,9.1,72.4%,0.4,1.8,2.6,3.3,3.2,1.2,1.5,0.7,0.8,卡姆-雷迪什,30.9%,24.4,11,35.4%,1.5,1.4,ATL
21,9.1,6.6,2.0,10.8,70.7%,0.4,2.0,5.2,6.0,3.6,2.2,1.4,0.8,0.8,杰-克劳德,33.3%,31.1,21,39.8%,1.4,2.8,MEM
