TeamAB,时间,场,比赛,列1,果
BKN,2017/11/26,客,灰熊88-98篮网,19,胜
BKN,2017/11/27,客,火箭117-103篮网,20,负
BKN,2017/11/29,客,独行侠104-109篮网,21,胜
BKN,2017/11/3,客,湖人124-112篮网,9,负
BKN,2017/11/6,客,太阳92-98篮网,10,胜
BKN,2017/11/7,客,掘金112-104篮网,11,负
BKN,2017/12/12,主,奇才98-103篮网,26,胜
BKN,2017/12/14,主,尼克斯111-104篮网,27,负
BKN,2017/12/15,客,猛龙120-87篮网,28,负
BKN,2017/12/17,主,步行者109-97篮网,29,负
BKN,2017/12/2,主,老鹰114-102篮网,22,负
BKN,2017/12/20,主,国王104-99篮网,30,负
BKN,2017/12/22,主,奇才84-119篮网,31,胜
BKN,2017/12/23,客,步行者123-119篮网,32,负
BKN,2017/12/26,客,马刺109-97篮网,33,负
BKN,2017/12/27,客,鹈鹕128-113篮网,34,负
BKN,2017/12/29,客,热火87-111篮网,35,胜
BKN,2017/12/31,客,凯尔特108-105篮网,36,负
BKN,2017/12/4,客,老鹰90-110篮网,23,胜
BKN,2017/12/7,主,雷霆95-100篮网,24,胜
BKN,2017/12/9,主,热火101-89篮网,25,负
BKN,2018/1/1,主,魔术95-98篮网,37,胜
BKN,2018/1/10,主,活塞114-80篮网,41,负
BKN,2018/1/12,客,老鹰105-110篮网,42,胜
BKN,2018/1/13,客,奇才119-113篮网,43,负
BKN,2018/1/15,主,尼克斯119-104篮网,44,负
BKN,2018/1/17,主,马刺100-95篮网,45,负
BKN,2018/1/19,主,热火95-101篮网,46,胜
BKN,2018/1/21,客,活塞100-101篮网,47,胜
BKN,2018/1/23,客,雷霆109-108篮网,48,负
BKN,2018/1/26,客,雄鹿116-91篮网,49,负
BKN,2018/1/27,客,森林狼111-97篮网,50,负
BKN,2018/1/3,主,森林狼97-98篮网,38,胜
BKN,2018/1/30,客,尼克斯111-95篮网,51,负
BKN,2018/1/31,主,76人108-116篮网,52,胜
BKN,2018/1/6,主,凯尔特87-85篮网,39,负
BKN,2018/1/8,主,猛龙114-113篮网,40,负
BKN,2018/2/10,主,鹈鹕138-128篮网,57,负
BKN,2018/2/12,主,快船114-101篮网,58,负
BKN,2018/2/14,主,步行者108-103篮网,59,负
BKN,2018/2/2,主,湖人102-99篮网,53,负
BKN,2018/2/22,客,黄蜂111-96篮网,60,负
BKN,2018/2/26,主,公牛87-104篮网,61,胜
BKN,2018/2/27,客,骑士129-123篮网,62,负
BKN,2018/2/4,主,雄鹿109-94篮网,54,负
BKN,2018/2/6,主,火箭123-113篮网,55,负
