比赛,场,出手,出手_2,出手_4,得分,罚球,犯规,盖帽,果,后场,篮板,列1,命中,命中_1,命中_3,前场,抢断,球队,三分,失误,时间,投篮,助攻,TeamAB
76人100-102国王,主,87,25,21,102,0.81,19,4,胜,29,42,31,39,7,17,13,11,萨克拉门托国王,0.28,19,2016/12/26,0.448,24,SAC
76人100-112快船,主,81,25,29,112,0.828,13,3,胜,33,41,66,40,8,24,8,13,洛杉矶快船,0.32,13,2017/3/11,0.494,25,LAC
76人101-102骑士,客,91,38,18,102,0.778,15,5,胜,38,49,6,37,14,14,11,10,克里夫兰骑士,0.368,16,2016/11/5,0.407,23,CLE
76人101-103魔术,客,93,25,17,103,0.765,15,6,胜,27,39,4,42,6,13,12,7,奥兰多魔术,0.24,10,2016/11/1,0.452,29,ORL
76人101-94热火,客,88,31,28,94,0.679,22,6,负,29,50,13,34,7,19,21,7,迈阿密热火,0.226,13,2016/11/21,0.386,17,MIA
76人102-125热火,主,82,22,23,125,0.739,24,5,胜,39,49,51,48,12,17,10,6,迈阿密热火,0.545,21,2017/2/4,0.585,28,MIA
76人102-93黄蜂,客,85,23,32,93,0.969,19,2,负,25,41,40,28,6,31,16,12,夏洛特黄蜂,0.261,19,2017/1/13,0.329,11,CHA
76人103-111马刺,客,74,22,25,111,0.88,22,5,胜,41,47,52,39,11,22,6,3,圣安东尼奥马刺,0.5,15,2017/2/8,0.527,24,SAS
76人104-106勇士,主,87,32,35,106,0.8,24,10,胜,29,42,67,32,14,28,13,12,金州勇士,0.438,18,2017/3/14,0.368,24,GSW
76人105-102尼克斯,客,84,21,33,102,0.879,20,3,负,32,41,62,33,7,29,9,10,纽约尼克斯,0.333,10,2017/3/3,0.393,14,NYK
76人105-113猛龙,主,85,19,19,113,0.789,19,9,胜,27,37,77,46,6,15,10,12,多伦多猛龙,0.316,15,2017/4/2,0.541,25,TOR
76人105-122骑士,主,95,29,16,122,0.563,16,4,胜,36,49,75,50,13,9,13,8,克里夫兰骑士,0.448,8,2017/3/31,0.526,30,CLE
76人105-95篮网,主,78,27,17,95,0.765,23,8,负,36,40,36,36,10,13,4,6,布鲁克林篮网,0.37,22,2017/1/8,0.462,21,BKN
76人105-99黄蜂,主,78,31,26,99,0.769,17,5,负,30,33,55,34,11,20,3,11,夏洛特黄蜂,0.355,15,2017/2/13,0.436,19,CHA
76人105-99凯尔特,客,85,29,29,99,0.862,15,4,负,33,41,70,34,6,25,8,8,波士顿凯尔特人,0.207,17,2017/3/19,0.4,27,BOS
