比赛,场,出手,出手_2,出手_4,得分,罚球,犯规,盖帽,果,后场,篮板,列1,命中,命中_1,命中_3,前场,抢断,球队,三分,失误,时间,投篮,助攻,TeamAB
76人106-101篮网,主,94,32,24,101,0.667,19,5,负,37,50,74,38,9,16,13,11,布鲁克林篮网,0.281,13,2017/3/28,0.404,22,BKN
76人106-107凯尔特,客,76,26,29,107,0.793,21,3,胜,31,37,20,38,8,23,6,5,波士顿凯尔特人,0.308,10,2016/12/3,0.5,22,BOS
76人106-110凯尔特,主,87,40,25,110,0.84,22,11,胜,30,42,36,35,19,21,12,6,波士顿凯尔特人,0.475,17,2017/1/6,0.402,28,BOS
76人106-136活塞,客,95,23,21,136,0.857,9,10,胜,34,44,62,54,10,18,10,11,底特律活塞,0.435,7,2017/3/4,0.568,26,DET
76人108-107篮网,客,81,34,31,107,0.742,20,5,负,36,43,26,36,12,23,7,8,布鲁克林篮网,0.353,16,2016/12/18,0.444,26,BKN
76人108-112骑士,客,92,40,28,112,0.857,14,3,胜,32,46,15,38,12,24,14,5,克里夫兰骑士,0.3,9,2016/11/27,0.413,19,CLE
76人108-114开拓者,主,88,21,33,114,0.848,22,12,胜,39,55,63,40,6,28,16,8,波特兰开拓者,0.286,19,2017/3/9,0.455,25,POR
76人108-116凯尔特,主,80,28,36,116,0.75,18,4,胜,33,39,56,38,13,27,6,13,波士顿凯尔特人,0.464,22,2017/2/15,0.475,21,BOS
76人108-119勇士,客,89,29,39,119,0.846,18,4,胜,29,45,59,40,6,33,16,14,金州勇士,0.207,13,2017/2/27,0.449,31,GSW
76人108-121公牛,主,89,14,28,121,0.821,11,5,胜,39,49,49,45,8,23,10,8,芝加哥公牛,0.571,10,2017/1/29,0.506,29,CHI
76人109-102奇才,客,91,23,25,102,0.72,26,1,负,29,40,10,38,8,18,11,8,华盛顿奇才,0.348,11,2016/11/16,0.418,18,WAS
76人109-105步行者,客,88,19,23,105,0.957,28,2,负,36,40,9,39,5,22,4,14,印第安纳步行者,0.263,13,2016/11/11,0.443,23,IND
76人109-110尼克斯,主,91,21,23,110,0.783,22,7,胜,34,44,59,43,6,18,10,6,纽约尼克斯,0.286,11,2017/2/25,0.473,21,NYK
76人109-112魔术,主,93,23,46,112,0.826,22,4,胜,41,55,71,35,4,38,14,10,奥兰多魔术,0.174,18,2017/3/20,0.376,19,ORL
76人111-120步行者,客,85,16,21,120,0.81,23,6,胜,30,44,81,49,5,17,14,9,印第安纳步行者,0.313,14,2017/4/10,0.576,30,IND
76人112-111魔术,主,84,21,24,111,0.792,20,8,负,40,47,55,41,10,19,7,4,奥兰多魔术,0.476,21,2017/2/9,0.488,27,ORL
76人113-104雄鹿,主,89,14,22,104,0.682,23,6,负,28,38,40,42,5,15,10,8,密尔沃基雄鹿,0.357,12,2017/1/16,0.472,23,MIL
76人113-114尼克斯,主,80,22,32,114,0.719,18,5,胜,25,42,82,41,9,23,17,6,纽约尼克斯,0.409,20,2017/4/12,0.512,17,NYK
76人114-109雄鹿,主,91,28,23,109,0.783,22,4,负,22,37,45,42,7,18,15,11,密尔沃基雄鹿,0.25,19,2017/1/25,0.462,26,MIL
76人114-123猛龙,客,87,29,36,123,0.861,20,3,胜,24,39,25,41,10,31,15,9,多伦多猛龙,0.345,9,2016/12/14,0.471,21,TOR
76人115-122步行者,主,91,19,20,122,0.75,17,7,胜,36,43,8,49,9,15,7,9,印第安纳步行者,0.474,15,2016/11/9,0.538,25,IND
76人116-123太阳,主,79,26,37,123,0.73,24,6,胜,32,43,30,42,12,27,11,7,菲尼克斯太阳,0.462,20,2016/12/23,0.532,25,PHO
76人116-74小牛,客,87,23,17,74,0.529,20,4,负,29,34,68,30,5,9,5,6,达拉斯小牛,0.217,12,2017/3/17,0.345,21,DAL
76人117-107公牛,主,91,24,31,107,0.742,15,5,负,24,39,73,37,10,23,15,9,芝加哥公牛,0.417,14,2017/3/24,0.407,22,CHI
76人117-109热火,客,85,23,28,109,0.857,27,4,负,38,49,55,39,7,24,11,4,迈阿密热火,0.304,19,2017/2/11,0.459,15,MIA
76人118-116湖人,主,88,20,28,116,0.857,21,10,负,33,40,66,44,4,24,7,10,洛杉矶湖人,0.2,15,2017/3/12,0.5,24,LAL
76人118-123火箭,客,81,31,28,123,0.964,29,4,胜,35,41,50,42,12,27,6,10,休斯顿火箭,0.387,23,2017/1/27,0.519,25,HOU
76人118-141篮网,客,75,31,33,141,0.879,18,5,胜,35,36,78,48,16,29,1,9,布鲁克林篮网,0.516,17,2017/4/4,0.64,36,BKN
76人120-105太阳,客,92,21,34,105,0.618,19,7,负,32,44,14,39,6,21,12,11,菲尼克斯太阳,0.286,15,2016/11/19,0.424,18,PHO
76人120-112奇才,客,90,24,40,112,0.775,25,5,负,31,43,56,38,5,31,12,8,华盛顿奇才,0.208,16,2017/2/24,0.422,19,WAS
76人121-110快船,客,71,34,41,110,0.634,22,1,负,35,46,47,33,18,26,11,4,洛杉矶快船,0.529,17,2017/1/24,0.465,17,LAC
76人122-119国王,客,74,29,29,119,0.828,28,3,负,24,33,48,41,13,24,9,7,萨克拉门托国王,0.448,20,2017/1/30,0.554,31,SAC
76人124-122掘金,主,84,27,41,122,0.805,26,1,负,34,45,33,39,11,33,11,5,丹佛掘金,0.407,10,2016/12/30,0.464,29,DEN
76人72-104老鹰,客,85,20,23,104,0.652,14,7,胜,41,47,2,42,5,15,6,11,亚特兰大老鹰,0.25,12,2016/10/29,0.494,31,ATL
76人82-90雄鹿,客,79,27,20,90,0.7,21,4,胜,37,43,80,35,6,14,6,10,密尔沃基雄鹿,0.222,15,2017/4/8,0.443,18,MIL
76人83-100爵士,主,73,26,28,100,0.536,11,6,胜,34,43,33,35,15,15,9,9,犹他爵士,0.577,14,2016/12/29,0.479,21,UTA
76人84-109爵士,客,85,19,20,109,0.6,22,11,胜,35,45,8,43,11,12,10,10,犹他爵士,0.579,10,2016/11/7,0.506,20,UTA
76人86-102马刺,主,89,21,27,102,0.741,20,9,胜,43,57,49,38,6,20,14,15,圣安东尼奥马刺,0.286,19,2017/2/2,0.427,26,SAS
76人86-110森林狼,主,85,26,20,110,0.9,19,8,胜,34,49,11,43,6,18,15,7,明尼苏达森林狼,0.231,13,2016/11/17,0.506,18,MIN
76人88-105魔术,客,78,26,26,105,0.692,20,3,胜,40,47,20,37,13,18,7,8,奥兰多魔术,0.5,10,2016/12/2,0.474,24,ORL
76人88-115火箭,主,91,40,17,115,0.588,19,10,胜,39,56,10,44,17,10,17,6,休斯顿火箭,0.425,18,2016/11/14,0.484,20,HOU
76人89-100湖人,客,79,30,22,100,0.864,21,4,胜,38,46,29,36,9,19,8,11,洛杉矶湖人,0.3,20,2016/12/16,0.456,19,LAL
76人89-105公牛,客,90,21,26,105,0.731,17,5,胜,40,51,16,40,6,19,11,10,芝加哥公牛,0.286,12,2016/11/25,0.444,24,CHI
76人90-102公牛,客,91,25,17,102,0.941,19,6,胜,47,57,79,39,8,16,10,7,芝加哥公牛,0.32,16,2017/4/6,0.429,27,CHI
76人91-96灰熊,主,86,17,35,96,0.8,25,5,胜,41,53,23,33,2,28,12,8,孟菲斯灰熊,0.118,13,2016/12/6,0.384,18,MEM
76人92-99老鹰,客,80,18,26,99,0.846,15,3,胜,32,47,75,34,9,22,15,7,亚特兰大老鹰,0.5,17,2017/3/29,0.425,19,ATL
76人93-108鹈鹕,客,93,17,26,108,0.692,16,3,胜,40,56,30,40,10,18,16,2,新奥尔良鹈鹕,0.588,11,2016/12/20,0.43,28,NOH
76人93-109黄蜂,主,79,34,26,109,0.692,17,3,胜,35,44,4,39,13,18,9,8,夏洛特黄蜂,0.382,15,2016/11/2,0.494,25,CHA
76人93-109奇才,主,91,17,18,109,0.722,18,2,胜,38,50,39,44,8,13,12,9,华盛顿奇才,0.471,11,2017/1/14,0.484,18,WAS
76人93-110老鹰,主,91,20,23,110,0.565,18,5,胜,37,48,44,45,7,13,11,7,亚特兰大老鹰,0.35,13,2017/1/21,0.495,24,ATL
76人93-91森林狼,客,82,24,20,91,0.9,24,6,负,38,47,35,33,7,18,9,7,明尼苏达森林狼,0.292,17,2017/1/3,0.402,20,MIN
76人93-92开拓者,客,89,19,28,92,0.714,20,6,负,34,46,45,33,6,20,12,8,波特兰开拓者,0.316,13,2017/1/20,0.371,16,POR
76人94-107步行者,主,89,17,29,107,0.828,13,4,胜,39,51,73,38,7,24,12,9,印第安纳步行者,0.412,9,2017/3/26,0.427,16,IND
76人94-89猛龙,客,86,24,23,89,0.652,24,3,负,31,43,42,34,6,15,12,10,多伦多猛龙,0.25,9,2017/1/18,0.395,17,TOR
76人95-113小牛,主,86,26,28,113,0.821,19,4,胜,36,51,49,40,10,23,15,10,达拉斯小牛,0.385,11,2017/2/1,0.465,22,DAL
76人95-122猛龙,主,77,19,31,122,0.806,14,8,胜,34,42,17,42,13,25,8,11,多伦多猛龙,0.684,12,2016/11/28,0.545,22,TOR
76人96-113活塞,主,99,22,17,113,0.941,19,4,胜,41,60,52,46,5,16,19,8,底特律活塞,0.227,12,2017/2/6,0.465,22,DET
76人96-117老鹰,主,95,32,14,117,0.571,14,6,胜,37,52,9,48,13,8,15,10,亚特兰大老鹰,0.406,16,2016/11/12,0.505,31,ATL
76人97-103雷霆,客,94,22,26,103,0.731,23,3,胜,40,53,1,39,6,19,13,7,俄克拉荷马雷霆,0.273,10,2016/10/26,0.415,19,OKC
76人97-122雷霆,主,88,16,30,122,0.733,17,8,胜,36,54,71,48,4,22,18,7,俄克拉荷马雷霆,0.25,16,2017/3/22,0.545,26,OKC
76人97-79活塞,主,82,19,14,79,0.714,18,2,负,24,34,26,32,5,10,10,15,底特律活塞,0.263,15,2016/12/11,0.39,15,DET
76人98-106掘金,客,76,27,34,106,0.765,20,8,胜,35,45,21,35,10,26,10,13,丹佛掘金,0.37,19,2016/12/5,0.461,17,DEN
76人98-112雄鹿,客,83,33,20,112,0.8,16,7,胜,32,41,62,41,14,16,9,7,密尔沃基雄鹿,0.424,12,2017/3/6,0.494,28,MIL
76人98-125热火,主,90,30,21,125,0.667,18,12,胜,34,42,61,49,13,14,8,9,迈阿密热火,0.433,13,2017/3/1,0.544,24,MIA
76人98-97尼克斯,客,86,22,10,97,0.9,22,7,负,33,41,39,42,4,9,8,7,纽约尼克斯,0.182,13,2017/1/11,0.488,20,NYK
76人99-104灰熊,客,99,29,24,104,0.75,28,9,胜,37,46,15,38,10,18,9,13,孟菲斯灰熊,0.345,15,2016/11/23,0.384,24,MEM
76人99-88鹈鹕,主,84,25,22,88,0.682,17,2,负,36,47,23,33,7,15,11,3,新奥尔良鹈鹕,0.28,12,2016/12/8,0.393,18,NOH
步行者100-109爵士,主,84,24,32,109,0.781,15,3,胜,32,42,45,39,6,25,10,11,犹他爵士,0.25,14,2017/1/21,0.464,24,UTA
步行者100-109凯尔特,主,84,27,14,109,0.857,17,2,胜,33,43,72,43,11,12,10,5,波士顿凯尔特人,0.407,16,2017/3/22,0.512,27,BOS
步行者100-111猛龙,主,82,27,35,111,0.657,23,5,胜,37,53,76,37,14,23,16,7,多伦多猛龙,0.519,14,2017/3/31,0.451,23,TOR
步行者100-116雄鹿,客,73,31,37,116,0.784,18,6,胜,29,37,53,35,17,29,8,7,密尔沃基雄鹿,0.548,6,2017/2/11,0.479,28,MIL
步行者100-122黄蜂,主,84,32,32,122,0.875,15,3,胜,40,43,6,41,12,28,3,12,夏洛特黄蜂,0.375,11,2016/11/7,0.488,30,CHA
步行者101-118公牛,主,86,21,21,118,0.905,14,6,胜,34,47,2,45,9,19,13,8,芝加哥公牛,0.429,12,2016/10/29,0.523,34,CHI
步行者102-109凯尔特,客,92,39,27,109,0.852,27,2,胜,35,44,29,38,10,23,9,10,波士顿凯尔特人,0.256,10,2016/12/22,0.413,19,BOS
步行者102-92灰熊,客,84,27,23,92,0.565,15,5,负,27,39,59,35,9,13,12,11,孟菲斯灰熊,0.333,11,2017/2/24,0.417,20,MEM
步行者102-98热火,客,94,32,16,98,0.688,22,4,负,35,54,67,39,9,11,19,4,迈阿密热火,0.281,8,2017/3/12,0.415,18,MIA
步行者103-109尼克斯,客,76,22,35,109,0.886,21,7,胜,37,43,46,35,8,31,6,8,纽约尼克斯,0.364,14,2017/1/23,0.461,19,NYK
步行者103-111小牛,主,80,32,24,111,0.75,19,1,胜,28,34,22,39,15,18,6,8,达拉斯小牛,0.469,8,2016/12/9,0.488,23,DAL
步行者103-93骑士,客,86,30,20,93,0.6,16,5,负,40,51,11,35,11,12,11,3,克里夫兰骑士,0.367,18,2016/11/16,0.407,19,CLE
步行者104-113骑士,主,82,39,19,113,0.895,19,2,胜,31,40,55,39,18,17,9,6,克里夫兰骑士,0.462,8,2017/2/15,0.476,23,CLE
步行者104-86老鹰,客,72,29,19,86,0.789,15,4,负,29,37,82,30,11,15,8,5,亚特兰大老鹰,0.379,18,2017/4/12,0.417,19,ATL
步行者104-89雄鹿,客,71,24,14,89,0.857,22,4,负,26,32,79,33,11,12,6,8,密尔沃基雄鹿,0.458,21,2017/4/6,0.465,21,MIL
步行者105-10976人,主,86,32,31,109,0.839,21,6,胜,41,54,8,36,11,26,13,7,费城76人,0.344,19,2016/11/11,0.419,24,PHI
步行者105-111奇才,主,78,22,37,111,0.73,27,1,胜,39,54,31,38,8,27,15,8,华盛顿奇才,0.364,18,2016/12/28,0.487,21,WAS
步行者105-84活塞,客,75,17,20,84,0.8,13,6,负,36,44,51,31,6,16,8,2,底特律活塞,0.353,21,2017/2/4,0.413,18,DET
步行者105-90活塞,主,84,30,22,90,0.727,18,1,负,30,40,29,32,10,16,10,6,底特律活塞,0.333,8,2016/12/17,0.381,22,DET
步行者106-100国王,主,72,21,27,100,0.778,22,5,负,26,36,41,35,9,21,10,9,萨克拉门托国王,0.429,21,2017/1/18,0.486,28,SAC
步行者106-110马刺,客,87,15,27,110,0.852,22,4,胜,37,49,55,40,7,23,12,7,圣安东尼奥马刺,0.467,11,2017/2/13,0.46,18,SAS
步行者106-142勇士,主,104,37,26,142,0.769,22,13,胜,38,54,21,54,14,20,16,12,金州勇士,0.378,11,2016/12/5,0.519,45,GSW
步行者106-97篮网,主,86,28,23,97,0.957,22,4,负,35,44,50,32,11,22,9,7,布鲁克林篮网,0.393,19,2017/2/3,0.372,20,BKN
步行者107-100爵士,客,88,26,20,100,0.7,17,11,负,36,49,71,40,6,14,13,5,犹他爵士,0.231,10,2017/3/20,0.455,20,UTA
步行者107-105奇才,客,88,33,26,105,0.808,22,6,负,35,49,27,38,8,21,14,5,华盛顿奇才,0.242,15,2016/12/19,0.432,19,WAS
步行者107-112奇才,主,88,29,30,112,0.667,13,4,胜,32,46,53,41,10,20,14,8,华盛顿奇才,0.345,11,2017/2/10,0.466,29,WAS
步行者107-125雄鹿,主,81,27,24,125,0.792,23,6,胜,29,41,5,47,12,19,12,10,密尔沃基雄鹿,0.444,22,2016/11/3,0.58,32,MIL
步行者107-9476人,客,88,41,14,94,0.714,23,5,负,40,48,73,35,14,10,8,7,费城76人,0.341,14,2017/3/26,0.398,19,PHI
步行者108-90猛龙,客,76,23,19,90,0.895,19,5,负,34,40,78,34,5,17,6,7,多伦多猛龙,0.217,13,2017/4/4,0.447,11,TOR
步行者109-103森林狼,主,81,27,27,103,0.778,20,5,负,28,34,46,36,10,21,6,13,明尼苏达森林狼,0.37,11,2017/1/26,0.444,27,MIN
步行者109-131开拓者,主,94,32,19,131,0.895,23,3,胜,26,40,20,51,12,17,14,13,波特兰开拓者,0.375,6,2016/11/30,0.543,29,POR
步行者109-94太阳,主,85,33,18,94,0.944,31,4,负,31,40,22,34,9,17,9,14,菲尼克斯太阳,0.273,19,2016/12/7,0.4,17,PHO
步行者110-94黄蜂,客,84,26,32,94,0.875,15,4,负,37,46,25,28,10,28,9,8,夏洛特黄蜂,0.385,13,2016/12/12,0.333,16,CHA
步行者111-101公牛,客,84,23,31,101,0.806,23,5,负,32,47,33,35,6,25,15,8,芝加哥公牛,0.261,13,2016/12/30,0.417,17,CHI
步行者111-102快船,主,81,30,28,102,0.714,24,7,负,35,51,22,36,10,20,16,5,洛杉矶快船,0.333,20,2016/12/4,0.444,19,LAC
步行者111-118尼克斯,主,88,23,21,118,0.81,18,8,胜,41,45,28,44,13,17,4,6,纽约尼克斯,0.565,14,2016/12/20,0.5,24,NYK
步行者111-94公牛,客,79,18,25,94,0.8,13,5,负,27,40,6,34,6,20,13,8,芝加哥公牛,0.333,16,2016/11/5,0.43,17,CHI
步行者112-140掘金,主,91,32,23,140,0.913,16,5,胜,35,48,38,52,15,21,13,10,丹佛掘金,0.469,15,2017/1/12,0.571,37,DEN
步行者114-115森林狼,客,77,20,37,115,0.865,22,9,胜,24,35,73,37,9,32,11,10,明尼苏达森林狼,0.45,15,2017/3/28,0.481,22,MIN
步行者115-108湖人,客,89,28,23,108,0.87,25,2,负,33,44,4,40,6,20,11,8,洛杉矶湖人,0.214,19,2016/11/1,0.449,14,LAL
步行者115-111国王,客,71,26,36,111,0.778,30,1,负,33,43,46,35,13,28,10,7,萨克拉门托国王,0.5,19,2017/1/27,0.493,22,SAC
步行者115-111雷霆,主,101,36,18,111,0.722,23,7,负,34,49,14,44,10,13,15,10,俄克拉荷马雷霆,0.278,20,2016/11/20,0.436,28,OKC
步行者115-98活塞,客,89,26,22,98,0.591,18,4,负,34,45,64,39,7,13,11,4,底特律活塞,0.269,10,2017/3/8,0.438,20,DET
步行者117-104魔术,客,97,38,11,104,0.909,22,7,负,32,42,35,42,10,10,10,6,奥兰多魔术,0.263,10,2017/1/1,0.433,25,ORL
步行者117-108火箭,主,88,45,42,108,0.81,22,5,负,27,39,61,32,10,34,12,8,休斯顿火箭,0.222,10,2017/2/27,0.364,22,HOU
步行者117-125掘金,客,82,27,43,125,0.93,15,4,胜,35,46,72,39,7,40,11,8,丹佛掘金,0.259,13,2017/3/24,0.476,23,DEN
步行者117-132骑士,客,84,36,26,132,0.923,16,5,胜,34,39,51,46,16,24,5,7,克里夫兰骑士,0.444,9,2017/2/8,0.548,24,CLE
步行者118-111开拓者,客,82,37,16,111,0.938,20,4,负,32,41,25,40,16,15,9,6,波特兰开拓者,0.432,17,2016/12/10,0.488,22,POR
步行者118-97篮网,客,79,34,23,97,0.609,17,4,负,29,38,15,36,11,14,9,8,布鲁克林篮网,0.324,19,2016/11/25,0.456,24,BKN
步行者120-101火箭,客,83,39,25,101,0.88,24,6,负,30,41,51,34,11,22,11,7,休斯顿火箭,0.282,15,2017/1/29,0.41,21,HOU
步行者120-11176人,主,75,33,31,111,0.903,19,1,负,23,33,81,35,13,28,10,10,费城76人,0.394,18,2017/4/10,0.467,20,PHI
步行者121-109篮网,客,90,38,13,109,0.769,17,8,负,37,45,34,41,17,10,8,5,布鲁克林篮网,0.447,13,2017/1/5,0.456,22,BKN
步行者121-116活塞,主,97,29,12,116,0.833,19,5,负,26,42,37,48,10,10,16,5,底特律活塞,0.345,10,2017/1/3,0.495,31,DET
步行者122-11576人,客,95,36,19,115,0.474,21,7,负,34,44,7,46,14,9,10,10,费城76人,0.389,17,2016/11/9,0.484,23,PHI
步行者123-109尼克斯,客,87,31,24,109,0.708,24,7,负,26,32,37,40,12,17,6,9,纽约尼克斯,0.387,17,2017/1/7,0.46,25,NYK
步行者127-112魔术,主,84,30,22,112,0.727,16,2,负,29,33,80,41,14,16,4,10,奥兰多魔术,0.467,13,2017/4/8,0.488,29,ORL
步行者130-121小牛,客,104,48,18,121,0.722,27,8,负,39,49,1,45,18,13,10,8,达拉斯小牛,0.375,15,2016/10/26,0.433,26,DAL
步行者130-135骑士,主,95,43,33,135,0.697,19,4,胜,41,56,76,47,18,23,15,7,克里夫兰骑士,0.419,13,2017/4/2,0.495,29,CLE
步行者81-87尼克斯,主,83,28,13,87,0.615,15,4,胜,41,52,68,35,9,8,11,8,纽约尼克斯,0.321,14,2017/3/14,0.422,21,NYK
步行者83-120勇士,客,90,36,32,120,0.844,17,10,胜,48,60,14,40,13,27,12,9,金州勇士,0.361,12,2016/11/21,0.444,31,GSW
步行者85-90公牛,主,83,25,28,90,0.714,15,3,胜,31,47,31,32,6,20,16,10,芝加哥公牛,0.24,12,2016/12/26,0.386,17,CHI
步行者85-96老鹰,客,85,20,22,96,0.864,18,7,胜,39,56,15,36,5,19,17,11,亚特兰大老鹰,0.25,21,2016/11/23,0.424,17,ATL
步行者85-99雄鹿,主,64,17,30,99,0.867,21,6,胜,29,34,64,33,7,26,5,13,密尔沃基雄鹿,0.412,20,2017/3/10,0.516,17,MIL
步行者88-100黄蜂,主,86,31,21,100,0.905,8,2,胜,37,50,63,35,11,19,13,10,夏洛特黄蜂,0.355,10,2017/3/6,0.407,21,CHA
步行者88-69魔术,客,84,25,13,69,0.769,17,5,负,43,52,11,27,5,10,9,3,奥兰多魔术,0.2,14,2016/11/14,0.321,12,ORL
步行者89-95热火,主,82,25,25,95,0.56,16,6,胜,44,58,26,37,7,14,14,4,迈阿密热火,0.28,15,2016/12/14,0.451,23,MIA
步行者91-116猛龙,主,91,27,16,116,0.875,20,7,胜,37,51,70,45,12,14,14,7,多伦多猛龙,0.444,16,2017/3/19,0.495,25,TOR
步行者91-70快船,客,70,24,27,70,0.815,13,4,负,34,40,18,22,4,22,6,9,洛杉矶快船,0.167,20,2016/11/27,0.314,11,LAC
步行者93-90雷霆,客,88,28,21,90,0.714,21,11,负,41,61,53,34,7,15,20,6,俄克拉荷马雷霆,0.25,16,2017/2/6,0.386,17,OKC
步行者94-103篮网,主,87,33,20,103,0.85,23,4,胜,40,52,2,38,10,17,12,6,布鲁克林篮网,0.303,16,2016/10/28,0.437,20,BKN
步行者95-102鹈鹕,主,86,27,28,102,0.714,16,8,胜,44,56,27,36,10,20,12,6,新奥尔良鹈鹕,0.37,16,2016/12/15,0.419,23,NOH
步行者95-113热火,主,78,31,31,113,0.774,19,5,胜,32,43,59,38,13,24,11,9,迈阿密热火,0.419,16,2017/2/25,0.487,23,MIA
步行者96-108湖人,主,87,33,15,108,0.8,20,4,胜,35,51,47,41,14,12,16,15,洛杉矶湖人,0.424,23,2017/1/20,0.471,27,LAL
步行者96-116太阳,客,97,26,18,116,0.833,28,7,胜,28,46,13,46,9,15,18,14,菲尼克斯太阳,0.346,11,2016/11/18,0.474,21,PHO
步行者97-110灰熊,主,88,32,18,110,0.889,19,3,胜,34,43,75,41,12,16,9,8,孟菲斯灰熊,0.375,8,2017/3/29,0.466,22,MEM
步行者97-96老鹰,主,77,27,31,96,0.613,19,1,负,33,44,62,34,9,19,11,12,亚特兰大老鹰,0.333,14,2017/3/5,0.442,21,ATL
步行者98-111奇才,客,83,29,15,111,0.667,19,3,胜,31,39,55,43,15,10,8,5,华盛顿奇才,0.517,10,2017/2/16,0.518,23,WAS
步行者98-77黄蜂,客,80,23,13,77,0.769,13,4,负,27,30,68,32,3,10,3,9,夏洛特黄蜂,0.13,10,2017/3/15,0.4,15,CHA
步行者98-88魔术,主,77,24,28,88,0.714,22,3,负,28,35,51,31,6,20,7,12,奥兰多魔术,0.25,14,2017/2/1,0.403,17,ORL
步行者98-95鹈鹕,客,84,25,18,95,0.722,17,6,负,30,38,42,36,10,13,8,7,新奥尔良鹈鹕,0.4,13,2017/1/16,0.429,18,NOH
步行者99-100马刺,主,74,29,24,100,0.875,21,7,胜,30,36,59,35,9,21,6,8,圣安东尼奥马刺,0.31,18,2017/3/1,0.473,20,SAS
步行者99-105凯尔特,客,80,25,33,105,0.818,21,7,胜,32,47,9,35,8,27,15,7,波士顿凯尔特人,0.32,13,2016/11/12,0.438,22,BOS
公牛100-107凯尔特,主,87,32,17,107,0.647,24,4,胜,29,39,4,41,14,11,10,10,波士顿凯尔特人,0.438,12,2016/11/2,0.471,28,BOS
公牛100-119马刺,主,85,18,19,119,0.737,19,3,胜,32,43,31,48,9,14,11,7,圣安东尼奥马刺,0.5,13,2016/12/25,0.565,30,SAS
公牛100-92魔术,主,85,22,20,92,0.75,18,2,负,36,48,47,35,7,15,12,7,奥兰多魔术,0.318,19,2017/1/24,0.412,18,ORL
公牛101-111步行者,主,81,19,30,111,0.867,22,6,胜,34,42,34,39,7,26,8,7,印第安纳步行者,0.368,11,2016/12/30,0.481,26,IND
公牛101-99篮网,客,86,33,16,99,0.75,22,5,负,28,38,31,37,13,12,10,9,布鲁克林篮网,0.394,14,2016/12/28,0.43,21,BKN
公牛102-9076人,主,91,33,22,90,0.773,19,3,负,40,50,79,33,7,17,10,10,费城76人,0.212,13,2017/4/6,0.363,19,PHI
公牛102-99国王,客,84,26,21,99,0.762,23,5,负,31,40,43,37,9,16,9,7,萨克拉门托国王,0.346,9,2017/1/21,0.44,20,SAC
公牛104-103凯尔特,客,77,37,20,103,0.85,18,4,负,27,31,57,36,14,17,4,2,波士顿凯尔特人,0.378,7,2017/2/16,0.468,24,BOS
公牛104-117尼克斯,客,89,21,21,117,0.762,23,2,胜,29,40,5,46,9,16,11,7,纽约尼克斯,0.429,5,2016/11/4,0.517,32,NYK
公牛105-100热火,客,91,20,18,100,0.611,22,5,负,29,43,24,42,5,11,14,5,迈阿密热火,0.25,12,2016/12/10,0.462,25,MIA
