比赛,场,出手,出手_2,出手_4,得分,罚球,犯规,盖帽,果,后场,篮板,列1,命中,命中_1,命中_3,前场,抢断,球队,三分,失误,时间,投篮,助攻,TeamAB
76人100-82鹈鹕,客,95,31,16,82,0.5,12,6,负,38,46,54,33,8,8,8,8,新奥尔良鹈鹕,0.258,12,2018/2/9,0.347,17,NOH
76人101-102热火,主,81,27,28,102,0.75,19,9,胜,26,37,61,36,9,21,11,12,迈阿密热火,0.333,16,2018/2/27,0.444,19,MIA
76人101-105灰熊,主,78,26,35,105,0.829,26,2,胜,21,32,46,33,10,29,11,14,孟菲斯灰熊,0.385,12,2018/1/22,0.423,14,MEM
76人101-115太阳,客,91,22,22,115,0.773,14,9,胜,31,46,25,44,10,17,15,10,菲尼克斯太阳,0.455,11,2017/12/4,0.484,25,PHO
76人101-81开拓者,客,89,26,24,81,0.583,17,6,负,37,48,18,30,7,14,11,8,波特兰开拓者,0.269,17,2017/11/22,0.337,14,POR
76人101-91老鹰,主,101,39,15,91,0.667,14,4,负,44,59,76,36,9,10,15,9,亚特兰大老鹰,0.231,16,2018/3/30,0.356,24,ATL
76人103-114凯尔特,客,89,35,19,114,0.789,18,2,胜,35,46,44,43,13,15,11,11,波士顿凯尔特人,0.371,18,2018/1/11,0.483,24,BOS
76人103-97热火,客,87,37,26,97,0.654,16,5,负,33,49,52,34,12,17,16,3,迈阿密热火,0.324,11,2018/2/2,0.391,20,MIA
76人104-102热火,客,77,27,29,102,0.724,21,5,负,26,29,58,35,11,21,3,9,迈阿密热火,0.407,10,2018/2/14,0.455,23,MIA
76人104-105火箭,客,75,39,24,105,0.875,13,13,胜,33,40,5,36,12,21,7,11,休斯顿火箭,0.308,19,2017/10/25,0.48,22,HOU
76人104-107湖人,客,96,28,24,107,0.5,24,7,胜,29,44,24,42,11,12,15,13,洛杉矶湖人,0.393,11,2017/12/7,0.438,22,LAL
76人104-97爵士,主,99,39,35,97,0.8,23,6,负,31,45,11,30,9,28,14,14,犹他爵士,0.231,12,2017/11/7,0.303,15,UTA
76人105-98尼克斯,主,94,15,28,98,0.643,21,5,负,27,45,33,38,4,18,18,7,纽约尼克斯,0.267,10,2017/12/25,0.404,18,NYK
76人107-102掘金,主,87,32,34,102,0.735,12,9,负,38,48,36,35,7,25,10,10,丹佛掘金,0.219,13,2017/12/30,0.402,18,DEN
76人107-86爵士,客,85,28,19,86,0.895,19,4,负,27,34,18,30,9,17,7,16,犹他爵士,0.321,14,2017/11/20,0.353,18,UTA
76人108-103活塞,客,78,31,32,103,0.813,27,2,负,29,36,22,34,9,26,7,8,底特律活塞,0.29,16,2017/12/2,0.436,20,DET
76人108-109国王,主,93,27,28,109,0.607,19,5,胜,37,45,11,40,12,17,8,6,萨克拉门托国王,0.444,9,2017/11/9,0.43,29,SAC
76人108-116篮网,主,77,32,28,116,0.893,26,9,胜,30,39,52,39,13,25,9,3,布鲁克林篮网,0.406,11,2018/1/31,0.506,19,BKN
76人108-92尼克斯,客,78,24,28,92,0.857,22,3,负,26,33,58,31,6,24,7,5,纽约尼克斯,0.25,19,2018/2/12,0.397,16,NYK
76人108-94黄蜂,客,85,22,30,94,0.8,12,4,负,33,40,71,32,6,24,7,8,夏洛特黄蜂,0.273,9,2018/3/19,0.376,16,CHA
76人108-97骑士,主,87,32,23,97,0.696,21,6,负,35,45,61,36,9,16,10,4,克里夫兰骑士,0.281,9,2018/3/1,0.414,23,CLE
76人109-105快船,主,82,32,32,105,0.656,26,4,负,25,34,13,36,12,21,9,8,洛杉矶快船,0.375,15,2017/11/13,0.439,16,LAC
76人109-114猛龙,客,85,35,35,114,0.914,19,6,胜,26,45,30,35,12,32,19,14,多伦多猛龙,0.343,21,2017/12/21,0.412,18,TOR
76人109-97独行侠,客,94,40,13,97,0.462,9,6,负,33,43,81,40,11,6,10,6,达拉斯独行侠,0.275,11,2018/4/8,0.426,24,DAL
76人110-114开拓者,主,75,24,47,114,0.766,18,3,胜,39,47,34,35,8,36,8,7,波特兰开拓者,0.333,15,2017/12/28,0.467,15,POR
76人110-118雄鹿,主,95,23,22,118,0.636,24,4,胜,22,38,63,47,10,14,16,15,密尔沃基雄鹿,0.435,13,2018/3/4,0.495,27,MIL
76人110-99黄蜂,客,81,24,32,99,0.625,25,0,负,32,39,63,34,11,20,7,7,夏洛特黄蜂,0.458,10,2018/3/2,0.42,21,CHA
76人112-106马刺,客,87,25,23,106,0.87,25,4,负,31,43,39,39,8,20,12,4,圣安东尼奥马刺,0.32,15,2018/1/3,0.448,15,SAS
76人112-110独行侠,主,74,40,19,110,0.789,15,2,负,30,33,7,38,19,15,3,7,达拉斯小牛,0.475,17,2017/10/28,0.514,22,DAL
76人112-122雷霆,主,92,33,30,122,0.733,25,3,胜,24,41,50,45,10,22,17,7,俄克拉荷马雷霆,0.303,10,2018/1/28,0.489,21,OKC
76人112-98快船,客,88,32,23,98,0.609,16,5,负,42,53,54,38,8,14,11,7,洛杉矶快船,0.25,16,2018/2/10,0.432,20,LAC
76人114-135勇士,主,82,27,26,135,0.962,23,11,胜,35,39,13,48,14,25,4,15,金州勇士,0.519,23,2017/11/11,0.585,31,GSW
76人114-78活塞,客,79,22,19,78,0.579,14,4,负,28,34,37,30,7,11,6,9,底特律活塞,0.318,12,2018/1/5,0.38,20,DET
76人115-101公牛,客,94,37,22,101,0.818,15,2,负,33,43,48,36,11,18,10,8,芝加哥公牛,0.297,11,2018/1/24,0.383,20,CHI
76人115-102奇才,客,93,27,18,102,0.722,18,1,负,23,39,54,41,7,13,16,14,华盛顿奇才,0.259,11,2018/2/6,0.441,23,WAS
